"","RAUMID","gcode","gen.03","gen.05","gen.07","gen.09","gen.11","gen.13","gen.15","gen.17","gen.19","tg1","tg2","tg3","tg4","tg5","PLANUNGSRAUM","is_eg","F_IN_KRAFT.x","yrs03","yrs05","yrs07","yrs09","yrs11","yrs13","yrs15","yrs17","yrs19","yrs21","is_within_500eg","F_IN_KRAFT.y","yrs03_500","yrs05_500","yrs07_500","yrs09_500","yrs11_500","yrs13_500","yrs15_500","yrs17_500","yrs19_500","yrs21_500","iseg03","iseg05","iseg07","iseg09","iseg11","iseg13","iseg15","iseg17","iseg19","iseg03_500","iseg05_500","iseg07_500","iseg09_500","iseg11_500","iseg13_500","iseg15_500","iseg17_500","iseg19_500"
"1",1011101,4,0,1,2,3,3,4,4,4,4,1.99863107460643,2.00136892539357,4,0,0,"Stülerstraße",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1011102,3,0,1,2,3,3,3,3,3,3,1.99863107460643,2.00136892539357,0,0,0,"Großer Tiergarten",0,0,0,0,0,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,0,0,0,0.0410116199589884,2.04237867395762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1011103,2,0,1,1,1,1,1,2,2,2,9.99863107460643,0,0,0,0,"Lützowstraße",1,2019,0,0,0,0,0,0,0,0,0.0410116199589884,2.04237867395762,2,2019,0,0,0,0,0,0,0,0,0.0410116199589884,2.04237867395762,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"4",1011104,4,0,1,1,2,3,4,4,4,4,4,1.99863107460643,2.00136892539357,0,0,"Körnerstraße",0,0,0,0,0,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,0,0,0,0.0410116199589884,2.04237867395762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",1011105,4,0,1,2,3,3,3,4,4,4,1.99863107460643,2.00136892539357,5.99863107460643,0,0,"Nördlicher Landwehrkanal",0,0,0,0,0,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,0,0,0,0.0410116199589884,2.04237867395762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",1011201,4,0,1,1,2,3,3,3,4,4,4,1.99863107460643,6.00136892539357,0,0,"Wilhelmstraße",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1011202,4,0,1,1,2,3,3,3,4,4,4,1.99863107460643,6.00136892539357,0,0,"Unter den Linden Nord",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1011203,4,0,1,2,3,3,4,4,4,4,1.99863107460643,2.00136892539357,4,0,0,"Unter den Linden Süd",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1011204,4,0,1,1,2,3,4,4,4,4,4,1.99863107460643,2.00136892539357,0,0,"Leipziger Straße",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1011301,2,0,1,1,1,1,1,2,2,2,9.99863107460643,0,0,0,0,"Charitéviertel",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1011302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oranienburger Straße",0,0,0,0,0,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,0,0,0,0,1.7634996582365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1011303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alexanderplatzviertel",1,2019,0,0,0,0,0,0,0,0,0,1.7634996582365,2,2019,0,0,0,0,0,0,0,0,0,1.7634996582365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1011304,2,1,1,2,2,2,2,2,2,2,4,0,0,0,0,"Karl-Marx-Allee",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1011305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Heine-Viertel West",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1011306,4,1,1,2,3,3,3,4,4,4,4,2.00136892539357,5.99863107460643,0,0,"Heine-Viertel Ost",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1011401,4,0,1,2,3,3,3,4,4,4,1.99863107460643,2.00136892539357,5.99863107460643,0,0,"Invalidenstraße",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1011402,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,"Arkonaplatz",0,0,0,0,0,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,0,0,0,0,1.7634996582365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1022101,4,1,1,2,3,3,3,4,4,4,4,2.00136892539357,5.99863107460643,0,0,"Huttenkiez",0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0,0,0,0,0,0,0.601503759398496,2.5974025974026,4.59876965140123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"19",1022102,3,1,1,2,3,3,3,3,3,3,4,2.00136892539357,0,0,0,"Beusselkiez",0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0,0,0,0,0,0,0.601503759398496,2.5974025974026,4.59876965140123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"20",1022103,2,1,1,1,1,1,2,2,2,2,10.0013689253936,0,0,0,0,"Westhafen",0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0,0,0,0,0,0,0.601503759398496,2.5974025974026,4.59876965140123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"21",1022104,2,1,1,1,1,2,2,2,2,2,8,0,0,0,0,"Emdener Straße",1,2016,0,0,0,0,0,0,0,0.601503759398496,2.5974025974026,4.59876965140123,2,2016,0,0,0,0,0,0,0,0.601503759398496,2.5974025974026,4.59876965140123,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
