ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200412;01011101;01;01;11;01;1;1026;570;456;6;3;6;3;3;3;3;3;10;6;6;22;38;132;90;143;123;89;70;84;49;54;9;9;6;16;21;6;7;6;0;0;6;15;31;22;170;648;72;49;13
200412;01011102;01;01;11;02;1;31;15;16;0;0;0;0;3;0;0;0;0;0;0;0;0;7;3;0;6;3;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;3;0;0;7;15;6;0;0
200412;01011103;01;01;11;03;1;1367;698;669;7;0;0;16;16;13;22;12;3;33;22;43;57;107;52;85;159;156;112;120;80;86;22;27;12;33;33;18;12;6;0;3;7;32;105;43;164;764;135;96;21
200412;01011104;01;01;11;04;1;1654;851;803;6;6;6;21;21;24;15;46;52;39;21;73;84;143;91;124;180;154;160;101;73;61;31;12;18;14;36;18;18;0;3;3;6;54;197;73;227;883;104;86;24
200412;01011105;01;01;11;05;1;242;143;99;0;0;0;3;3;3;3;3;3;3;3;0;8;7;13;9;33;37;29;27;22;15;3;0;3;3;3;0;6;0;0;0;0;6;18;0;15;170;18;9;6
200412;01011201;01;01;12;01;1;559;311;248;0;4;6;0;0;10;6;18;13;13;6;3;16;25;17;24;49;78;63;54;47;41;12;17;6;10;15;6;0;0;0;0;0;10;66;3;41;332;70;37;0
200412;01011202;01;01;12;02;1;70;40;30;0;0;0;0;0;0;0;0;0;0;0;0;6;12;6;0;12;6;7;6;3;3;6;0;0;0;0;0;0;0;3;0;0;0;0;0;18;40;9;0;3
200412;01011203;01;01;12;03;1;376;193;183;3;0;3;0;0;3;0;6;0;6;3;15;14;13;12;26;52;32;33;28;51;35;6;4;18;7;6;0;0;0;0;0;3;3;18;15;27;234;45;31;0
200412;01011204;01;01;12;04;1;1196;654;542;6;0;3;12;3;3;7;15;13;12;13;36;40;111;49;85;138;113;95;105;93;97;46;9;19;15;26;13;13;0;6;0;6;18;63;36;151;678;152;73;19
200412;01011301;01;01;13;01;1;721;415;306;0;0;0;6;4;3;3;3;3;6;0;9;9;54;46;101;123;109;60;73;48;21;6;9;6;6;3;7;0;0;3;0;0;10;18;9;63;560;36;22;3
200412;01011302;01;01;13;02;1;1831;988;843;9;16;7;18;12;9;9;24;18;30;15;46;45;165;124;204;357;257;198;101;65;51;15;3;6;9;12;6;0;0;0;0;9;53;105;46;210;1306;69;33;0
200412;01011303;01;01;13;03;1;1275;665;610;15;6;13;7;6;9;12;10;21;28;12;21;27;155;91;131;179;143;127;79;66;41;9;6;12;7;30;6;3;3;0;0;15;32;92;21;182;816;56;55;6
200412;01011304;01;01;13;04;1;779;393;386;6;6;0;12;12;6;15;18;36;21;3;30;34;52;25;47;91;101;68;51;30;27;6;10;6;14;19;24;6;3;0;0;6;30;99;30;86;413;43;63;9
200412;01011305;01;01;13;05;1;771;426;345;6;6;3;6;6;12;12;9;9;9;6;31;33;51;46;52;127;86;47;57;59;33;15;13;12;7;12;0;3;3;0;0;6;21;57;31;84;474;61;31;6
200412;01011306;01;01;13;06;1;1164;706;458;0;3;3;6;15;9;3;16;12;16;22;83;52;132;67;110;172;131;99;79;45;34;16;6;9;3;12;6;3;0;0;0;0;27;78;83;184;703;56;30;3
200412;01011401;01;01;14;01;1;1998;1037;961;3;9;10;24;18;21;9;33;25;28;10;32;48;206;179;273;396;258;157;100;42;48;26;6;3;15;7;9;3;0;0;0;3;61;126;32;254;1405;80;34;3
200412;01011402;01;01;14;02;1;1454;769;685;10;3;3;9;0;0;3;3;6;3;6;18;22;190;149;200;335;219;121;54;44;18;7;3;0;6;6;6;4;3;0;3;10;15;21;18;212;1122;28;18;10
200412;01022101;01;02;21;01;1;886;498;388;3;13;0;3;18;12;12;13;13;27;12;27;36;67;67;57;92;116;89;49;47;48;30;13;7;6;6;3;0;0;0;0;3;34;89;27;103;517;91;22;0
200412;01022102;01;02;21;02;1;2294;1231;1063;19;13;6;28;24;30;25;42;47;71;22;84;68;171;112;196;292;215;190;147;128;135;64;38;30;36;34;9;9;9;0;0;19;71;237;84;239;1280;237;109;18
200412;01022103;01;02;21;03;1;48;28;20;0;0;0;0;0;0;0;0;4;0;0;0;0;3;4;7;12;9;3;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;38;3;0;0
200412;01022104;01;02;21;04;1;4885;2619;2266;29;19;15;52;47;46;40;90;84;96;69;152;188;360;244;377;546;525;455;331;274;305;148;84;69;80;91;38;22;3;3;3;29;133;425;152;548;2752;537;278;31
200412;01022105;01;02;21;05;1;1533;822;711;24;9;10;24;6;25;16;41;28;40;22;46;49;127;76;128;174;185;110;99;95;50;34;21;24;28;17;13;6;6;0;0;24;49;172;46;176;867;105;82;12
200412;01022106;01;02;21;06;1;1915;983;932;16;12;12;6;10;19;19;24;19;25;19;61;61;119;97;173;238;218;184;158;135;104;51;27;22;30;24;10;13;3;6;0;16;40;125;61;180;1203;182;86;22
200412;01022201;01;02;22;01;1;3019;1543;1476;10;9;9;28;44;36;34;74;68;83;30;128;123;262;105;188;373;389;298;176;154;157;52;41;36;50;32;12;6;3;6;3;10;90;325;128;385;1683;250;130;18
200412;01022202;01;02;22;02;1;558;255;303;0;0;9;9;9;13;6;20;18;26;13;36;30;30;12;36;66;41;49;32;18;37;15;6;9;9;3;0;3;0;3;0;0;27;96;36;60;254;58;21;6
200412;01022203;01;02;22;03;1;2203;1085;1118;9;6;9;18;34;20;37;40;52;56;28;107;87;134;78;133;243;221;150;143;142;145;67;47;62;50;46;18;9;9;3;0;9;67;233;107;221;1110;259;176;21
200412;01022204;01;02;22;04;1;1118;626;492;0;6;0;6;22;15;8;19;24;20;15;41;30;66;67;74;129;130;106;73;87;55;15;16;16;27;27;18;0;0;6;0;0;34;101;41;96;666;86;88;6
200412;01022205;01;02;22;05;1;759;362;397;0;6;9;9;12;6;3;20;21;35;6;27;25;30;18;33;83;64;91;52;41;52;21;18;18;10;21;12;9;7;0;0;0;36;91;27;55;382;91;61;16
200412;01022206;01;02;22;06;1;538;274;264;0;6;0;6;3;3;3;6;6;6;0;18;28;43;25;57;64;73;58;27;34;18;15;9;0;12;6;0;9;0;3;0;0;15;24;18;71;338;42;18;12
200412;01022207;01;02;22;07;1;1734;919;815;0;0;3;18;6;3;9;24;21;15;0;21;71;359;221;284;218;116;110;58;35;46;19;17;7;19;18;10;3;3;0;0;0;27;72;21;430;1042;82;54;6
200412;01033101;01;03;31;01;1;7914;4189;3725;59;42;41;97;109;127;142;245;223;235;126;336;341;506;329;527;925;774;631;535;403;366;211;144;100;129;127;42;15;15;9;3;59;289;1098;336;847;4124;721;398;42
200412;01033102;01;03;31;02;1;3861;2034;1827;19;3;16;52;72;61;58;114;100;102;69;203;161;244;157;238;444;393;320;248;172;203;114;64;73;61;58;24;6;3;6;3;19;143;504;203;405;1972;381;216;18
200412;01033201;01;03;32;01;1;3606;1872;1734;15;28;16;33;50;68;42;111;134;134;65;197;126;198;127;230;366;438;302;192;180;148;96;64;66;66;66;30;12;3;3;0;15;127;554;197;324;1835;308;228;18
200412;01033202;01;03;32;02;1;2359;1196;1163;19;9;12;9;21;21;24;51;59;86;38;131;74;151;92;153;300;258;199;112;114;129;71;62;33;44;42;21;15;6;3;0;19;51;279;131;225;1228;262;140;24
200412;01033203;01;03;32;03;1;4680;2438;2242;28;15;30;58;61;60;79;130;144;161;52;215;186;327;210;315;511;462;454;231;203;238;134;100;76;68;84;24;18;3;0;3;28;164;626;215;513;2386;472;252;24
200412;01044101;01;04;41;01;1;3837;2105;1732;27;25;25;40;34;36;33;64;73;76;39;132;140;334;180;268;510;386;374;253;224;245;86;63;52;41;38;21;9;3;3;3;27;124;321;132;474;2195;394;152;18
200412;01044102;01;04;41;02;1;2152;1109;1043;9;12;3;18;18;15;25;48;33;36;31;71;71;160;77;168;238;275;173;148;139;133;72;31;39;34;42;15;12;6;0;0;9;51;188;71;231;1218;236;130;18
200412;01044103;01;04;41;03;1;2145;1185;960;15;9;21;24;30;12;25;52;24;51;24;79;84;168;84;155;262;270;222;123;107;126;38;39;32;27;21;15;0;6;0;0;15;84;188;79;252;1223;203;95;6
200412;01044201;01;04;42;01;1;8340;4435;3905;49;48;43;151;124;139;118;210;260;272;114;407;351;529;301;534;993;867;695;507;424;371;212;135;108;149;97;62;22;9;3;36;49;366;1113;407;880;4321;718;416;70
200412;01044202;01;04;42;02;1;5855;3226;2629;34;36;28;75;59;65;69;115;124;114;73;171;300;659;385;608;801;595;394;278;253;239;110;53;70;55;36;31;10;6;9;0;34;198;560;171;959;3314;402;192;25
200412;01044203;01;04;42;03;1;5594;2990;2604;29;27;18;50;68;70;61;154;105;137;63;203;197;432;248;392;674;552;477;324;284;363;150;118;107;100;114;33;20;12;9;3;29;163;590;203;629;2951;631;354;44
200412;02010101;02;01;01;01;1;2558;1351;1207;21;13;16;24;24;24;19;56;61;71;49;84;86;210;131;213;352;274;247;170;100;109;40;31;33;19;37;12;26;0;6;0;21;77;280;84;296;1487;180;101;32
200412;02010102;02;01;01;02;1;4194;2117;2077;18;18;21;52;47;58;74;128;133;134;53;210;148;212;139;257;527;487;389;264;168;187;108;64;69;72;76;48;15;15;3;0;18;138;580;210;360;2231;359;265;33
200412;02010103;02;01;01;03;1;4520;2376;2144;31;15;23;43;60;58;58;121;131;138;58;177;142;258;189;336;588;533;365;252;198;219;137;91;75;72;88;35;19;7;0;3;31;141;564;177;400;2461;447;270;29
200412;02010104;02;01;01;04;1;1967;1036;931;6;24;9;42;31;41;51;58;68;73;28;105;103;105;64;82;203;194;177;126;85;72;42;31;28;46;48;12;10;0;0;3;6;106;319;105;208;931;145;134;13
200412;02020201;02;02;02;01;1;92;55;37;0;0;0;0;0;0;0;0;0;0;0;0;3;12;6;3;15;12;12;9;3;7;0;7;0;0;3;0;0;0;0;0;0;0;0;0;15;60;14;3;0
200412;02020202;02;02;02;02;1;1390;711;679;3;3;3;16;12;12;18;27;21;33;13;42;49;101;55;93;191;150;130;105;79;77;38;24;33;16;34;3;6;0;3;0;3;34;124;42;150;803;139;86;9
200412;02020203;02;02;02;03;1;2097;1146;951;12;7;3;3;10;15;21;26;27;36;15;55;50;143;90;169;294;290;216;165;121;130;54;18;24;46;30;15;6;3;3;0;12;23;140;55;193;1345;202;115;12
200412;02020204;02;02;02;04;1;2876;1568;1308;3;6;9;17;25;18;32;62;46;49;25;89;73;178;136;227;348;354;299;184;177;157;81;55;67;34;67;33;12;13;0;0;3;57;232;89;251;1725;293;201;25
200412;02020205;02;02;02;05;1;3722;1963;1759;9;12;3;44;39;34;31;64;80;76;36;108;75;207;133;243;464;474;382;261;245;227;133;57;57;91;63;31;16;9;6;12;9;98;321;108;282;2202;417;242;43
200412;02020206;02;02;02;06;1;5467;2918;2549;24;35;34;50;82;65;57;128;137;135;74;188;153;382;254;361;685;650;496;408;231;281;129;78;88;81;97;34;22;19;6;3;24;201;596;188;535;3085;488;300;50
200412;02030301;02;03;03;01;1;4428;2319;2109;24;10;25;43;57;68;61;115;116;116;66;217;187;245;175;267;410;465;392;251;207;277;152;134;99;88;86;44;18;7;3;3;24;135;542;217;432;2167;563;317;31
200412;02030302;02;03;03;02;1;4687;2541;2146;0;19;9;39;55;56;61;128;117;104;65;180;195;333;205;303;549;443;448;288;241;253;138;100;97;94;107;44;13;3;0;0;0;122;531;180;528;2477;491;342;16
200412;02030401;02;03;04;01;1;4526;2446;2080;16;22;18;37;50;35;41;81;91;98;56;150;138;312;192;370;609;541;388;304;217;268;133;72;80;62;87;40;6;3;3;6;16;127;402;150;450;2621;473;269;18
200412;02030402;02;03;04;02;1;4198;2235;1963;6;9;6;32;39;55;54;87;82;104;49;202;126;259;167;304;517;444;387;257;201;245;152;90;73;114;86;21;21;3;3;3;6;86;431;202;385;2277;487;294;30
200412;02040501;02;04;05;01;1;396;197;199;3;3;0;6;6;3;6;9;12;18;0;6;12;24;7;18;40;83;51;24;6;19;6;4;3;9;3;12;3;0;0;0;3;15;48;6;36;229;29;27;3
200412;02040502;02;04;05;02;1;482;251;231;6;0;9;3;3;0;6;12;6;14;6;10;18;33;40;55;59;61;51;37;18;15;7;3;7;3;0;0;0;0;0;0;6;15;44;10;51;321;25;10;0
200412;02040503;02;04;05;03;1;776;420;356;3;4;6;6;3;3;0;21;6;22;3;13;38;74;54;99;116;113;72;56;31;12;6;0;3;3;3;3;3;0;0;0;3;19;55;13;112;541;18;12;3
200412;02040701;02;04;07;01;1;1833;984;849;10;24;10;30;10;13;22;30;36;30;12;40;63;274;172;229;257;222;110;89;55;33;18;10;3;6;6;6;7;6;0;0;10;74;143;40;337;1134;61;21;13
200412;02040702;02;04;07;02;1;872;545;327;7;3;0;0;3;8;7;3;3;15;12;57;27;93;47;96;147;111;74;55;45;31;3;6;3;3;10;0;0;0;3;0;7;6;48;57;120;575;40;16;3
200412;02040703;02;04;07;03;1;113;64;49;0;0;0;3;0;0;3;3;3;0;0;12;0;12;0;9;22;21;3;12;7;3;0;0;0;0;0;0;0;0;0;0;0;3;9;12;12;74;3;0;0
200412;02050601;02;05;06;01;1;893;523;370;0;10;0;10;9;3;7;3;21;6;3;18;21;97;63;96;166;98;121;47;34;27;15;6;3;3;0;6;0;0;0;0;0;29;43;18;118;625;48;12;0
200412;02050602;02;05;06;02;1;1917;995;922;3;6;6;29;12;18;15;27;4;37;12;51;70;213;169;257;367;219;167;102;51;39;15;10;6;3;6;0;0;3;0;0;3;53;113;51;283;1332;64;15;3
200412;02050801;02;05;08;01;1;1851;998;853;9;6;12;15;15;16;18;45;27;34;18;39;49;229;135;219;331;235;185;110;64;15;3;0;7;6;9;0;0;0;0;0;9;48;158;39;278;1279;18;22;0
200412;02050802;02;05;08;02;1;1777;994;783;4;3;0;6;9;3;3;13;6;15;9;12;41;232;196;278;403;242;121;78;34;29;15;9;0;3;3;3;4;3;0;0;4;18;49;12;273;1352;53;9;7
200412;02050803;02;05;08;03;1;673;400;273;3;3;3;21;9;3;3;10;15;9;12;19;22;76;50;67;103;88;61;30;36;12;3;3;3;3;3;0;3;0;0;0;3;36;52;19;98;435;18;9;3
200412;02050804;02;05;08;04;1;114;60;54;0;0;0;0;0;0;0;0;3;0;0;6;6;4;3;0;18;30;3;16;13;9;0;0;0;0;0;3;0;0;0;0;0;0;3;6;10;83;9;3;0
200412;03010101;03;01;01;01;2;90;51;39;0;3;0;0;0;0;0;0;0;3;0;3;3;3;3;9;9;18;18;3;6;9;0;0;0;0;0;0;0;0;0;0;0;3;3;3;6;66;9;0;0
200412;03010102;03;01;01;02;2;335;199;136;3;0;3;0;0;0;7;3;7;0;0;6;6;16;22;40;59;48;39;22;27;12;0;3;0;6;3;3;0;0;0;0;3;3;17;6;22;257;15;12;0
