"","RAUMID","gcode","is_eg","F_IN_KRAFT.x","Year","gstatus"
"1011101.2003",1011101,4,0,0,2003,0
"1011102.2003",1011102,3,0,0,2003,0
"1011103.2003",1011103,3,1,2019,2003,0
"1011104.2003",1011104,5,0,0,2003,0
"1011105.2003",1011105,3,0,0,2003,0
"1011201.2003",1011201,4,0,0,2003,0
"1011202.2003",1011202,3,0,0,2003,0
"1011203.2003",1011203,3,0,0,2003,0
"1011204.2003",1011204,4,0,0,2003,0
"1011301.2003",1011301,3,0,0,2003,0
"1011302.2003",1011302,1,0,0,2003,0
"1011303.2003",1011303,1,1,2019,2003,0
"1011304.2003",1011304,4,0,0,2003,1
"1011305.2003",1011305,5,0,0,2003,1
"1011306.2003",1011306,4,0,0,2003,1
"1011401.2003",1011401,4,0,0,2003,0
"1011402.2003",1011402,3,0,0,2003,0
"1022101.2003",1022101,3,0,0,2003,1
"1022102.2003",1022102,4,0,0,2003,1
"1022103.2003",1022103,2,0,0,2003,1
"1022104.2003",1022104,4,1,2016,2003,1
"1022105.2003",1022105,4,0,0,2003,1
"1022106.2003",1022106,4,0,0,2003,1
"1022201.2003",1022201,4,1,2016,2003,1
"1022202.2003",1022202,4,0,0,2003,0
"1022203.2003",1022203,4,0,0,2003,1
"1022204.2003",1022204,4,1,2019,2003,1
"1022205.2003",1022205,4,0,0,2003,0
"1022206.2003",1022206,3,0,0,2003,0
"1022207.2003",1022207,4,0,0,2003,1
"1033101.2003",1033101,3,1,2019,2003,1
"1033102.2003",1033102,4,0,0,2003,1
"1033201.2003",1033201,4,0,0,2003,1
"1033202.2003",1033202,4,0,0,2003,1
"1033203.2003",1033203,3,1,2019,2003,1
"1044101.2003",1044101,4,0,0,2003,1
"1044102.2003",1044102,4,0,0,2003,1
"1044103.2003",1044103,3,1,2016,2003,1
"1044201.2003",1044201,4,1,2019,2003,1
"1044202.2003",1044202,4,1,2016,2003,1
"1044203.2003",1044203,3,1,2016,2003,1
"2010101.2003",2010101,1,0,0,2003,0
"2010102.2003",2010102,4,0,0,2003,1
"2010103.2003",2010103,3,1,2017,2003,1
"2010104.2003",2010104,3,0,0,2003,1
"2020201.2003",2020201,4,0,0,2003,1
"2020202.2003",2020202,4,0,0,2003,1
"2020203.2003",2020203,5,1,2005,2003,1
"2020204.2003",2020204,3,1,2003,2003,1
"2020205.2003",2020205,3,1,2005,2003,1
"2020206.2003",2020206,3,1,1996,2003,1
"2030301.2003",2030301,3,0,0,2003,1
"2030302.2003",2030302,5,0,0,2003,1
"2030401.2003",2030401,5,1,1996,2003,1
"2030402.2003",2030402,2,0,0,2003,1
"2040501.2003",2040501,4,0,0,2003,1
"2040502.2003",2040502,4,0,0,2003,1
"2040503.2003",2040503,5,0,0,2003,1
"2040701.2003",2040701,3,0,0,2003,1
"2040702.2003",2040702,3,1,2017,2003,1
"2040703.2003",2040703,4,0,0,2003,1
"2050601.2003",2050601,1,1,2014,2003,1
"2050602.2003",2050602,5,1,2021,2003,1
"2050801.2003",2050801,4,0,0,2003,1
"2050802.2003",2050802,5,1,1999,2003,1
"2050803.2003",2050803,5,1,2020,2003,1
"2050804.2003",2050804,4,0,0,2003,0
"3010101.2003",3010101,4,0,0,2003,1
"3010102.2003",3010102,3,0,0,2003,1
"3010104.2003",3010104,3,0,0,2003,1
"3020203.2003",3020203,4,0,0,2003,1
"3020209.2003",3020209,4,0,0,2003,1
"3020210.2003",3020210,5,0,0,2003,1
"3020307.2003",3020307,4,0,0,2003,0
"3030405.2003",3030405,2,0,0,2003,1
"3030406.2003",3030406,3,0,0,2003,1
"3030711.2003",3030711,3,0,0,2003,0
"3030715.2003",3030715,3,0,0,2003,1
"3030716.2003",3030716,3,0,0,2003,0
"3040508.2003",3040508,3,0,0,2003,1
"3040512.2003",3040512,4,0,0,2003,1
"3040513.2003",3040513,3,0,0,2003,1
"3040614.2003",3040614,3,1,2000,2003,1
"3040818.2003",3040818,2,1,2018,2003,1
"3050919.2003",3050919,4,0,0,2003,1
"3050920.2003",3050920,4,0,0,2003,1
"3050923.2003",3050923,5,1,2018,2003,1
"3050924.2003",3050924,3,0,0,2003,1
"3050925.2003",3050925,3,1,2018,2003,1
"3051017.2003",3051017,1,0,0,2003,1
"3051021.2003",3051021,1,0,0,2003,1
"3051022.2003",3051022,3,0,0,2003,1
"3061126.2003",3061126,1,1,1999,2003,1
"3061131.2003",3061131,5,1,1997,2003,0
"3061227.2003",3061227,2,1,2001,2003,1
"3061228.2003",3061228,5,1,2003,2003,1
"3061332.2003",3061332,2,1,2014,2003,0
"3061429.2003",3061429,4,0,0,2003,1
"3061430.2003",3061430,2,0,0,2003,1
"3061434.2003",3061434,5,0,0,2003,1
"3061435.2003",3061435,2,0,0,2003,1
