ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU28;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
201812;04051655;04;05;16;55;1;3162;539;1015;273;134;329;289;379;810;206
201812;04051656;04;05;16;56;1;2505;596;1059;211;75;186;169;186;711;119
201812;04061757;04;06;17;57;2;24;3;3;0;0;0;0;9;12;0
201812;05010101;05;01;01;01;2;2874;201;802;440;168;283;393;537;478;213
201812;05010102;05;01;01;02;2;2230;146;755;341;207;210;320;248;386;104
201812;05010103;05;01;01;03;2;1445;122;495;249;100;127;178;149;285;111
201812;05010204;05;01;02;04;2;1563;56;256;133;46;401;79;291;426;64
201812;05010205;05;01;02;05;2;579;55;184;81;60;80;112;24;82;37
201812;05010206;05;01;02;06;2;4239;178;1255;677;231;823;669;587;417;257
201812;05010207;05;01;02;07;2;5916;204;1680;1113;137;1581;1144;556;461;357
201812;05010208;05;01;02;08;2;2705;182;959;468;169;307;449;308;402;111
201812;05010209;05;01;02;09;2;1920;141;525;218;169;155;433;190;300;148
201812;05010310;05;01;03;10;2;1491;64;474;207;162;108;209;223;221;94
201812;05010311;05;01;03;11;2;2853;129;615;142;187;458;737;315;235;306
201812;05010312;05;01;03;12;2;4174;194;1407;370;399;224;729;671;558;186
201812;05010313;05;01;03;13;2;2914;248;941;286;243;276;426;442;400;186
201812;05010314;05;01;03;14;2;4964;339;1736;721;402;514;674;538;731;369
201812;05010339;05;01;03;39;2;675;12;33;15;21;54;31;290;231;15
201812;05020415;05;02;04;15;2;798;114;279;138;56;107;113;45;120;78
201812;05020416;05;02;04;16;2;88;28;48;16;0;13;12;0;9;6
201812;05020417;05;02;04;17;2;1860;130;589;253;161;162;236;297;308;107
201812;05020418;05;02;04;18;2;1168;58;292;155;77;156;115;235;227;66
201812;05020419;05;02;04;19;2;2024;163;746;387;141;270;214;222;285;146
201812;05020420;05;02;04;20;2;193;9;30;18;24;23;15;65;18;18
201812;05020521;05;02;05;21;2;878;39;204;79;63;122;161;90;140;98
201812;05020522;05;02;05;22;2;3525;154;1098;589;174;435;303;611;783;121
201812;05020523;05;02;05;23;2;7392;317;2043;822;382;1595;1057;1189;806;320
201812;05020524;05;02;05;24;2;1363;158;538;245;89;111;177;107;258;83
201812;05020625;05;02;06;25;2;2789;200;892;357;223;383;357;354;448;132
201812;05020626;05;02;06;26;2;6383;537;2202;781;534;508;937;712;1095;395
201812;05020627;05;02;06;27;2;1988;106;538;183;206;142;222;441;356;83
201812;05020628;05;02;06;28;2;505;37;170;94;21;46;84;40;73;71
