Statistische Gebiete,Einwohner am 31.12.2002
Berlin,3336248
001-Westhafen,4502
002-Turmstraße,46255
003-Hansaviertel,25502
004-Tiergarten,211
005-Lützowplatz,12671
006-Soldiner Straße,22016
007-Gesundbrunnen,30902
008-Humboldthain,13746
009-Leopoldplatz,55230
010-Rehberge,680
011-Schillerpark,31636
012-Mehringplatz,19447
013-Moritzplatz,19046
014-Mariannenplatz,21216
015-Wiener Straße,26827
016-Urban,44123
017-Viktoriapark,14962
018-Volkspark Jungfernheide,9650
019-Goerdelerdamm,8707
020-Charlottenburger Schloß,16106
021-Franklinstraße,2872
022-Richard - Wagner - Platz,39270
023-Hardenbergstraße,11310
024-Stuttgarter Platz,48360
025-Olympiastadion,12361
026-Westend,24042
027-Johannesstift,50684
028-Werderstraße,12341
029-Spandauer Rathaus,24949
030-Charlottenburger Chaussee,2809
031-Klosterfelde,5811
032-Pichelsdorf,38173
033-Zitadelle,3375
034-Gartenfelder Straße,10036
035-Schukertdamm,10188
036-Siemenswerke,1438
037-Staaken,41280
038-Gatow,5532
039-Kladow,11651
040-Joachim - Friedrich - Straße,12455
041-Fehrbelliner Platz,12766
042-Schaperstraße,4570
043-Hohenzollernplatz,33927
044-Bundesplatz,22352
045-Rüdesheimer Platz,19468
046-Schmargendorf,19998
047-Grunewaldsee,o.A.
048-K�nigsallee,11185
049-Teltower Damm,33122
050-Argentinische Allee,25235
051-Dahlem,14092
052-Nikolassee,15030
053-Wannsee,9188
054-John-F-Kennedy-Platz,28697
055-Bayerisches Viertel,27089
056-Nollendorfplatz,16768
057-Großgörschenstraße,22264
058-Tempelhofer Weg,5375
059-Priesterweg,1064
060-Rubensstraße,16385
061-Friedenau,26337
062-Schloßstraße,20493
063-Albrechtstraße,49701
064-Ostpreußendamm,35188
065-Goerzwerke,1162
066-Drakestraße,41134
067-Lankwitz,40729
068-Alt-Tempelhof,48508
069-Zentralflughafen,6159
070-Mariendorfer Damm,47632
071-Lankwitzer Straße,2531
072-Mauserstraße,2865
073-Marienfelder Allee,28686
074-Lichtenrade,51589
075-Reuterplatz,33758
076-Roseggerstraße,28198
077-Köllnische Heide,15661
078-Karl-Marx-Straße,38698
079-Schillerpromenade,31108
080-Britz,38830
081-Buckow 1,28555
082-Buckow 2,34384
083-Rudow,54740
084-Flottenstraße,192
085-Residenzstraße,44945
086-Scharnweberstraße,28979
087-Flughafen Tegel,1709
088-Borsigwerke,852
089-Alt-Tegel,31445
090-Konradshöhe,6049
091-Heiligensee,17796
092-Frohnau,17249
093-Hermsdorf,17046
094-Waidmannslust,10260
095-Lübars,5021
097-Breitenbachstraße,o.A.
098-Friedrich-Wilhelm-Stadt,4123
099-Oranienburger Vorstadt,21442
100-Spandauer Vorstadt,10969
101-Königsstadt,7676
102-Dorotheenstadt,378
103-Friedrichstadt,9013
104-Luisenstadt,13407
105-Stralauer Vorstadt,8324
106-Schönhauser Allee-Nord,33260
107-Prenzlauer Allee-Nord,28382
108-Greifswalder Straße-Nord,20272
109-Storkower Straße,6865
110-Schönhauser Allee-Süd,26505
111-Greifswalder Straße-Süd,18643
112-Zentralviehhof,408
113-Volkspark Friedrichshain,127
114-Friedensstraße,14531
115-Rigaer Straße,28756
116-Boxhagener Straße,34833
117-Andreasstraße,16282
118-Stralauer Allee,5505
119-Alt-Stralau,1853
120-Köpenicker Landstraße,33269
121-Treptower Park/Plänterwald,o.A.
122-Niederschöneweide,10014
123-Adlershof,14423
124-Johannisthal,19254
125-Rudower Chaussee,242
126-Altglienicke,26070
127-Bohnsdorf,10452
128-Oberschöneweide,15450
129-Wuhlheide,o.A.
130-Dammvorstadt,9203
131-Spindlersfeld,9358
132-Wendenschloßstraße,29128
133-Grünau,5519
134-Forst Grünau,o.A.
135-Schmöckwitz,3438
136-Rauchfangswerder,485
137-Seddinberg,o.A.
138-Müggelheim,6027
139-Rahnsdorf,8130
140-Forst Rahnsdorf,706
141-Müggelberge,o.A.
142-Forst Friedrichshagen,o.A.
143-Friedrichshagen,16746
144-Uhlenhorst,12241
145-Karlshorst,19612
146-Rummelsburg,1684
147-Friedrichsfelde,62445
148-Tierpark,2624
149-Rüdigerstraße,27729
150-Krankenhaus Herzberge,170
151-Herzbergstraße,3488
152-Fennpfuhl,31246
153-Pistoriusstraße,29357
154-Buschallee,14548
155-Heinersdorf,6320
156-Blankenburg,6254
157-Karow,17808
158-Marderberg,o.A.
159-Märchenland,1217
160-Vinetastraße,31164
161-Am Schloßpark,29745
162-Schönholz,2633
163-Wilhelmsruh,8831
164-Rosenthal,3918
165-Niederschönhausen,11728
166-Hertaplatz,8779
167-Buchholz,15399
168-Blankenfelde,1846
169-Lietzengraben,176
170-Bucher Forst,2820
171-Buch,10581
172-Malchow,706
173-Wartenberg,2048
174-Falkenberg,798
175-Neu-Wartenberg,30185
176-Neu-Hohenschönhausen,27450
177-Mühlengrund,14073
178-Marzahner Straße,1008
179-Alt-Hohenschönhausen,28488
180-Bürknersfelde,330
181-Ahrensfelde-Süd,24254
182-Marzahner Promenade,45652
183-Marzahner Chaussee,1613
184-Springpfuhl,31388
185-Kienberg,2858
186-Biesdorf-Nord,14404
187-Alt-Biesdorf,2257
188-Biesdorf-Süd,7498
189-Kaulsdorf-Süd,7093
190-Mahlsdorf-Süd,13458
191-Mahlsdorf-Nord,12184
192-Kaulsdorf-Nord,11078
193-Hellersdorf-West,22529
194-Alt-Hellersdorf,30209
195-H�now-West,25997
