Raumid,Gebiet,EW,Status1,Status2,Status3,Status4,Status5,Status6,Dynamik1,Dynamik2,Dynamik3,Dynamik4,Dynamik5,Dynamik6,EW,E3,E1,E2,E5,E6,E8,E7,E9,E11,E12,E13,E17,E14,E15,E18,E16,E19,E20,E21,E22,E23,E4,E10,E24,E25
01011101,Stülerstraße,"2,672",7.2,2.3,2.4,7.3,21.6,79.7,32.8,-8.7,3.3,-0.6,2.0,-5.2,"2,672",0.2,18.0,-1.0,7.2,24.2,42.4,24.9,25.0,1.0,3.1,3.0,1.5,1.3,5.1,8.1,3.1,0.6,-1.0,0.3,9.9,14.4,2.9,80.5,39.1,4.3
01011102,Großer Tiergarten,171,3.1,0.0,0.0,2.9,0.0,40.0,31.0,-4.9,-16.7,-2.5,0.0,-11.1,171,-1.1,16.7,-1.1,8.8,16.4,17.5,8.8,0.0,0.0,0.0,0.0,1.8,0.0,3.5,7.0,3.5,-0.4,0.0,-2.1,5.1,0.0,5.3,33.3,57.3,4.1
01011103,Lützowstraße,"4,816",10.3,3.7,3.0,16.5,37.8,83.1,42.2,5.4,16.9,0.9,-1.3,-8.0,"4,816",0.1,16.0,2.6,14.4,15.2,51.2,29.3,30.5,3.6,1.8,5.2,1.3,3.3,4.7,7.2,2.5,1.6,-0.1,-0.3,16.7,25.4,5.3,82.2,32.4,-0.2
01011104,Körnerstraße,"3,680",10.7,5.5,3.3,29.3,72.7,88.8,38.7,-1.0,0.8,0.3,1.8,1.2,"3,680",0.1,9.6,-0.1,18.5,6.3,62.6,33.9,19.7,7.3,4.5,4.0,1.8,2.4,5.1,9.0,3.9,-1.5,-1.4,-1.1,21.1,36.7,6.2,88.6,29.0,-0.8
01011105,Nördlicher Landwehrkanal,799,1.4,0.0,0.6,2.9,9.6,59.0,52.7,-6.6,-16.7,-2.9,-0.6,-1.9,799,0.2,62.5,-0.7,10.4,12.4,44.4,29.3,25.3,1.5,1.5,5.5,0.5,0.0,7.3,8.9,1.6,-2.6,0.0,-0.2,3.2,3.0,3.3,61.5,34.6,2.1
01011201,Wilhelmstraße,"2,033",5.6,1.7,1.7,8.0,32.2,70.6,29.6,-1.8,-5.8,0.1,1.4,-0.5,"2,033",-0.3,19.8,-1.1,12.9,16.2,43.1,28.4,24.4,0.6,1.8,8.9,0.3,0.4,4.1,8.3,4.2,0.7,-0.6,0.4,6.3,12.3,4.6,76.6,43.4,1.4
01011202,Unter den Linden Nord,444,5.3,0.0,1.5,2.5,10.4,43.5,34.8,-1.4,-3.3,-0.1,-1.9,-0.1,444,0.0,20.0,0.7,14.0,13.3,29.3,18.5,4.8,0.7,0.0,2.0,0.0,0.7,6.1,8.3,2.3,-0.2,0.0,1.5,5.0,6.1,7.4,45.5,46.6,0.7
01011203,Unter den Linden Süd,802,3.2,0.0,0.0,3.1,9.0,66.3,34.7,-7.1,-8.7,0.4,-1.1,-10.4,802,0.5,26.1,-0.7,10.0,14.8,38.8,28.1,27.5,0.4,0.5,13.3,1.1,0.4,4.7,8.5,3.7,0.3,0.0,-0.6,5.5,2.7,3.0,50.0,39.3,0.4
01011204,Leipziger Straße,"5,504",6.0,1.6,1.5,6.8,22.9,65.9,29.4,-2.3,-5.9,0.4,2.7,1.2,"5,504",-0.2,20.7,-1.2,9.5,24.3,32.3,19.5,21.7,0.5,1.5,3.6,1.0,0.8,4.3,8.3,4.0,0.4,-1.5,-0.1,7.5,13.9,3.7,72.4,49.7,0.7
01011301,Charitéviertel,"4,619",4.0,2.6,0.9,3.2,7.6,39.2,41.8,0.2,-6.4,-0.8,-0.3,-0.6,"4,619",0.1,23.6,-0.2,10.4,9.0,27.9,19.9,13.1,0.3,0.5,1.6,0.9,0.4,8.1,10.0,1.9,-0.1,-0.1,-0.4,5.1,4.6,5.8,39.9,47.7,0.9
01011302,Oranienburger Straße,"11,808",6.2,2.0,1.4,7.0,16.5,38.6,36.4,-1.1,-6.2,-0.4,-0.4,-1.1,"11,808",0.0,21.1,-1.1,15.1,6.8,28.4,18.5,7.9,0.5,0.3,1.3,0.6,0.5,7.9,9.5,1.6,0.0,-1.8,-0.3,8.9,8.5,6.7,38.2,39.9,0.4
01011303,Alexanderplatzviertel,"8,107",7.7,3.6,2.1,9.4,29.1,56.3,30.8,0.7,-9.1,-0.2,-0.8,-1.4,"8,107",0.0,20.7,0.1,9.3,20.1,29.6,19.2,16.8,0.6,0.5,1.5,1.0,0.8,6.0,8.1,2.0,-0.4,0.1,-0.2,11.0,15.7,4.5,55.5,44.4,0.5
01011304,Karl-Marx-Allee,"8,168",9.3,3.4,3.0,11.3,46.9,65.8,19.7,-0.6,5.6,-0.4,0.7,-2.1,"8,168",-0.2,9.9,-0.5,10.8,36.1,25.9,15.0,21.6,1.7,0.5,1.4,0.4,1.3,2.0,3.1,1.2,-0.4,-1.9,0.0,7.9,32.0,4.0,63.3,46.8,1.1
01011305,Heine-Viertel West,"6,018",7.4,2.4,2.4,8.7,42.6,61.3,25.9,1.0,1.6,-0.1,0.1,-2.8,"6,018",-0.2,19.3,0.2,8.5,32.9,23.5,14.4,22.1,1.5,0.6,2.0,0.6,0.5,2.8,4.7,1.8,-0.3,-0.8,0.4,7.7,17.5,3.6,57.9,49.8,1.2
01011306,Heine-Viertel Ost,"7,376",8.3,3.5,2.5,7.5,27.1,56.3,36.7,0.0,-9.9,-0.5,0.8,-0.7,"7,376",-0.1,19.2,0.0,10.2,19.5,28.8,16.9,11.3,3.6,1.1,1.3,1.1,0.8,2.8,5.1,2.4,0.2,-1.7,0.0,9.6,16.3,4.4,57.0,47.5,1.1
01011401,Invalidenstraße,"13,363",5.5,2.2,1.4,5.5,11.4,35.9,40.5,-0.3,-6.2,-0.9,0.1,-1.4,"13,363",-0.1,17.6,-0.3,13.9,6.3,26.9,17.9,7.2,0.5,0.2,1.2,1.0,0.5,8.0,10.5,2.4,-0.4,-0.9,-0.2,8.5,7.8,7.2,35.6,43.7,0.9
