Nummer,Name,Status 1,Status 3,Status 4,S1,S2,S3,S4,D1,D2,D3,D4,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01011101,Stülerstraße,5.18,8.57,21.27,4.98,1.52,8.16,20.51,-0.19,0.14,-0.42,-0.75,0.00,-,8.71,83.02,56.10,38.76,2.15,63.13,8.26,0.70,2.08,41.43,0.00,54.21,38.91,0.16,-2.47
01011102,Großer Tiergarten,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01011103,Lützowstraße,7.33,18.54,42.07,6.83,2.08,17.74,34.33,-0.50,-0.03,-0.80,-7.74,3.08,-,19.22,86.19,58.86,38.93,5.01,65.08,21.84,7.85,1.65,37.99,13.54,52.57,41.65,4.54,3.95
01011104,Körnerstraße,7.60,22.33,49.69,6.27,1.49,20.66,45.91,-1.33,-0.76,-1.66,-3.77,2.78,-,31.71,80.31,64.41,38.27,2.09,67.72,24.12,7.65,1.35,31.96,57.04,47.96,35.18,2.53,2.14
01011105,Nördlicher Landwehrkanal,2.83,1.91,4.26,2.06,0.00,1.50,3.55,-0.77,-0.74,-0.42,-0.71,0.00,-,0.00,85.19,57.89,40.35,1.25,76.42,1.43,0.00,3.32,93.70,0.00,45.56,38.66,1.32,-0.60
01011201,Wilhelmstraße,4.87,8.32,27.14,3.64,0.89,8.45,27.31,-1.23,-0.59,0.13,0.17,1.32,-,2.77,78.49,53.47,35.25,5.66,67.75,12.23,11.22,2.54,52.87,0.00,63.17,31.52,3.61,5.33
01011202,Unter den Linden Nord,2.11,1.61,6.12,1.97,0.00,1.81,6.67,-0.13,0.00,0.20,0.54,0.00,-,0.00,67.82,47.37,36.35,7.23,46.15,1.40,10.65,2.41,70.33,0.00,47.65,42.79,9.95,23.33
01011203,Unter den Linden Süd,3.13,3.33,9.57,3.98,1.46,3.59,10.34,0.85,0.27,0.26,0.77,0.00,-,0.00,77.36,51.00,37.35,-0.10,61.07,5.85,41.19,2.24,59.78,0.00,48.76,34.61,3.10,-2.85
01011204,Leipziger Straße,5.04,6.99,25.91,3.91,1.61,7.20,21.34,-1.13,0.27,0.21,-4.57,1.82,-,4.43,76.40,44.26,29.16,4.52,57.03,10.26,33.27,2.12,47.91,0.00,51.95,35.96,7.26,10.02
01011301,Charitéviertel,3.13,3.29,4.75,2.57,0.39,3.23,5.06,-0.56,-0.33,-0.05,0.30,0.92,-,3.15,48.92,39.47,28.22,3.01,48.71,3.64,7.07,2.20,54.79,49.29,39.62,49.15,6.31,1.06
01011302,Oranienburger Straße,4.60,6.58,12.25,3.99,0.91,6.11,11.24,-0.61,-0.14,-0.47,-1.01,0.90,-,5.03,44.30,37.49,25.90,2.80,46.36,6.77,23.49,1.97,45.62,33.19,58.30,33.64,1.11,-5.98
