Nummer,Name,EW 31.12.2018,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S3,S4,D1,D3,D4,zS1,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01011101,Stülerstraße,"3,384",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.80,7.65,15.44,-0.34,-0.50,-5.08,-0.47,-0.51,-0.57,-1.55,-0.52,mittel,0.69,0.04,-0.69,0.04,0.01,stabil,1.11,8.12,90.18,60.70,41.87,3.11,65.28,7.07,0.66,2.02,41.74,0.00,58.01,38.69,4.07,1.74
01011102,Großer Tiergarten,196,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01011103,Lützowstraße,"5,038",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.43,17.69,37.50,-0.71,-0.06,3.17,0.24,0.76,0.67,1.66,0.56,mittel,0.29,0.33,0.87,1.48,0.57,stabil,2.69,19.87,82.27,57.26,34.76,-4.17,60.31,23.13,8.73,1.84,42.59,14.41,58.48,37.01,-3.77,-8.94
01011104,Körnerstraße,"4,759",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.95,18.72,42.60,-0.27,-1.94,-3.32,0.46,0.89,0.95,2.30,0.78,mittel,0.77,-0.91,-0.36,-0.50,-0.19,stabil,3.47,27.27,78.20,65.35,39.95,1.68,70.12,23.03,7.70,1.34,31.61,36.81,54.57,36.65,-0.18,2.84
01011105,Nördlicher Landwehrkanal,"1,421",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",0.58,2.18,3.53,-0.39,0.68,-0.02,-1.44,-1.20,-1.23,-3.86,-1.31,hoch,0.64,0.82,0.27,1.72,0.66,stabil,0.95,2.24,83.78,63.27,46.02,5.67,72.94,1.48,0.00,2.67,75.88,0.00,44.37,45.43,10.96,-4.69
01011201,Wilhelmstraße,"2,405",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.39,7.98,19.03,-0.16,-0.46,-8.28,-0.65,-0.46,-0.36,-1.48,-0.50,mittel,0.88,0.06,-1.29,-0.35,-0.13,stabil,1.52,3.94,83.79,59.79,41.00,5.75,66.02,8.67,10.54,2.40,51.19,0.00,59.25,36.24,4.12,23.57
01011202,Unter den Linden Nord,632,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",1.26,1.58,11.11,0.16,-0.23,4.44,-1.14,-1.27,-0.81,-3.22,-1.09,hoch,1.23,0.22,1.11,2.56,0.98,stabil,0.00,0.00,80.77,47.94,36.55,0.20,47.19,1.83,10.65,2.32,67.66,0.00,43.21,37.12,0.08,2.29
01011203,Unter den Linden Süd,"1,115",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",1.80,4.39,6.25,-1.12,0.81,-4.09,-0.91,-0.92,-1.08,-2.90,-0.99,mittel,-0.16,0.90,-0.50,0.23,0.09,stabil,1.32,3.55,78.23,53.18,36.59,-0.76,64.22,4.50,48.29,2.02,54.26,0.00,49.91,32.77,6.18,12.63
01011204,Leipziger Straße,"8,279",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.05,7.20,20.36,-0.47,0.00,-0.98,-0.80,-0.56,-0.29,-1.65,-0.56,mittel,0.55,0.37,0.08,1.00,0.38,stabil,1.16,4.60,79.38,50.15,33.30,4.14,62.46,10.35,31.63,2.00,45.56,0.00,48.40,34.96,5.10,0.67
01011301,Charitéviertel,"6,919",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",0.96,2.69,4.27,-0.26,-0.55,-0.79,-1.27,-1.13,-1.19,-3.59,-1.22,hoch,0.78,0.01,0.12,0.91,0.35,stabil,0.42,2.92,51.26,42.84,30.54,2.32,53.10,2.79,6.73,2.07,51.40,11.71,44.14,43.03,2.36,-4.78
01011302,Oranienburger Straße,"12,572",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.04,5.85,11.10,-0.24,-0.26,-0.13,-0.80,-0.73,-0.81,-2.34,-0.79,mittel,0.79,0.20,0.24,1.24,0.47,stabil,0.77,5.32,48.48,40.09,27.27,1.38,48.47,7.89,22.63,1.98,45.99,26.79,60.39,27.95,-0.63,-7.36
01011303,Alexanderplatzviertel,"9,999",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.13,8.18,19.96,-0.48,-0.44,-0.54,-0.33,-0.44,-0.31,-1.08,-0.37,mittel,0.54,0.08,0.17,0.78,0.30,stabil,1.03,6.69,70.24,47.64,34.93,2.65,59.86,8.44,42.00,1.87,37.91,11.20,53.00,40.33,1.82,-5.42
01011304,Karl-Marx-Allee,"8,761",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.51,13.17,37.41,-0.85,-0.39,-4.90,0.27,0.19,0.66,1.12,0.38,mittel,0.13,0.11,-0.66,-0.41,-0.16,stabil,2.65,2.94,74.49,41.59,26.12,3.76,71.63,26.48,45.16,1.91,35.37,0.00,69.42,22.40,1.04,10.83
01011305,Heine-Viertel West,"8,243",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.42,6.02,17.00,-0.62,-1.18,-3.30,-0.64,-0.71,-0.48,-1.83,-0.62,mittel,0.39,-0.41,-0.35,-0.37,-0.14,stabil,2.10,2.15,64.87,39.48,26.23,3.40,69.01,9.37,9.44,1.90,37.16,1.36,57.67,30.36,3.90,6.45
01011306,Heine-Viertel Ost,"10,607",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2.16,6.45,15.70,-1.03,-1.76,-6.07,-0.75,-0.66,-0.55,-1.96,-0.66,mittel,-0.06,-0.79,-0.88,-1.73,-0.66,stabil,0.56,2.71,59.92,43.85,29.87,3.12,63.92,8.73,14.06,1.61,33.06,21.35,52.29,35.00,4.93,0.67
01011401,Invalidenstraße,"17,948",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",1.44,4.60,7.85,-0.42,-0.15,0.58,-1.07,-0.89,-0.99,-2.95,-1.00,mittel,0.60,0.27,0.38,1.24,0.48,stabil,0.79,5.99,52.03,43.41,31.57,3.75,53.13,6.01,3.30,1.70,40.44,43.52,50.41,37.92,3.41,-3.32
01011402,Arkonaplatz,"13,645",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",1.18,3.26,3.71,-0.59,-0.07,-0.24,-1.18,-1.06,-1.22,-3.46,-1.17,hoch,0.42,0.32,0.22,0.97,0.37,stabil,0.94,5.82,45.66,40.26,27.67,2.35,44.39,3.83,3.40,1.77,39.67,27.90,53.04,32.05,0.06,-6.94
01022101,Huttenkiez,"3,557",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",6.65,24.01,67.95,-4.77,-3.28,-0.22,1.20,1.55,2.37,5.13,1.74,sehr niedrig,-4.15,-1.79,0.23,-5.72,-2.19,positiv,4.41,19.29,77.85,53.84,37.76,2.09,47.80,34.56,1.62,1.50,33.55,100.00,52.21,34.64,-0.46,-14.81
01022102,Beusselkiez,"6,709",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",6.24,22.03,52.92,-3.40,-2.62,-4.21,1.03,1.31,1.53,3.86,1.31,niedrig,-2.65,-1.36,-0.52,-4.53,-1.73,positiv,3.32,22.98,82.48,61.69,42.94,2.89,58.90,26.61,4.64,1.47,30.86,99.46,52.16,36.55,2.33,-1.53
01022103,Westhafen,272,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01022104,Emdener Straße,"18,974",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.01,17.53,41.12,-1.55,-0.96,-2.50,0.49,0.74,0.87,2.10,0.71,mittel,-0.63,-0.26,-0.20,-1.10,-0.42,stabil,3.38,16.04,70.53,50.52,32.78,1.88,59.04,25.93,3.20,1.64,35.60,100.00,57.88,33.73,0.76,-3.16
01022105,Zwinglistraße,"5,426",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",5.56,22.23,51.68,-1.95,-1.65,-6.45,0.73,1.33,1.46,3.52,1.19,niedrig,-1.08,-0.72,-0.95,-2.74,-1.05,positiv,2.71,19.89,82.55,59.60,38.13,1.69,56.21,30.06,0.92,1.43,31.32,100.00,56.10,33.15,0.34,-6.36
01022106,Elberfelder Straße,"11,421",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.08,8.90,16.53,-0.53,-0.66,0.28,-0.35,-0.35,-0.50,-1.20,-0.41,mittel,0.48,-0.06,0.32,0.74,0.28,stabil,1.80,7.66,50.50,35.49,20.39,-1.56,55.30,16.18,0.66,1.89,41.93,4.67,66.45,26.19,-2.07,-8.48
01022201,Stephankiez,"11,027",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.02,15.64,34.06,-1.05,-1.68,-2.38,0.06,0.50,0.48,1.04,0.35,mittel,-0.09,-0.74,-0.18,-1.01,-0.39,stabil,3.17,14.81,70.31,50.39,31.37,-0.43,59.90,23.98,0.26,1.65,36.95,100.00,56.64,36.12,-2.03,-10.49
01022202,Heidestraße,"2,495",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",5.09,16.71,33.33,-3.79,-12.18,-18.23,0.53,0.64,0.43,1.60,0.54,mittel,-3.08,-7.66,-3.17,-13.91,-5.32,positiv,5.08,15.66,83.67,62.28,34.99,2.60,75.14,20.94,9.07,1.71,43.85,62.93,45.58,49.42,30.69,31.34
