Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,, 6 , 954 , 2 ," 3,868 ", 16 ," 2,980 ", 4 ," 5,613 ",,,
001012, 3 , 898 ,,,,,,,,,,, 4 , 484 , 2 , 430 , 2 , 552 , 3 , 814 , 4 , 767 , 2 ," 1,231 ",,, 7 ," 2,144 ", 3 ," 2,972 ", 14 ," 2,655 ", 25 ," 3,033 ", 14 ," 2,764 ", 5 ," 2,467 ", 2 ," 3,325 ", 5 ," 4,196 ",,,
001013, 1 ," 1,837 ", 1 ," 1,337 ",,,,, 1 , 758 ,,, 2 , 911 , 1 , 785 , 2 , 913 ,,, 2 , 869 , 1 , 649 , 4 , 937 , 2 ," 1,371 ",,, 2 ," 1,748 ", 26 ," 3,182 ", 13 ," 3,636 ", 12 ," 5,704 ", 13 ," 4,013 ", 13 ," 4,709 ",,,
001072,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 6,738 ", 3 ," 5,621 ", 40 ," 5,794 ", 43 ," 6,482 ", 58 ," 6,937 ", 118 ," 7,302 ", 87 ," 7,693 ", 26 ," 8,189 ",,,
001073,,,,, 10 , 584 , 3 ," 1,206 ",,, 2 , 909 , 1 ," 1,055 ", 1 , 163 , 2 ," 1,473 ", 1 ," 1,477 ", 1 ," 1,714 ",,,,, 1 , 508 , 15 ," 3,851 ", 20 ," 4,505 ", 12 ," 4,875 ", 1 ," 3,947 ", 55 ," 5,780 ", 46 ," 6,586 ", 15 ," 4,993 ",,,
001074,,,,,,,,, 8 , 323 , 18 , 321 , 11 , 215 ,,,,,,,,,,, 5 , 218 ,,,,,,,,,,,,,,,,,,,
001075, 2 , 962 ,,, 1 , 380 , 1 ," 1,042 ", 1 , 405 , 4 , 691 , 2 , 917 , 4 , 650 , 8 , 641 ,,, 5 ," 1,167 ", 6 ," 1,105 ", 4 ," 1,397 ", 6 ," 1,290 ", 2 ," 1,637 ", 11 ," 3,045 ", 9 ," 2,999 ", 28 ," 2,979 ", 17 ," 2,943 ", 10 ," 3,551 ", 4 ," 3,774 ", 3 ," 4,022 ",
001904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 14 ," 5,081 ", 143 ," 6,093 ", 127 ," 6,746 ", 27 ," 6,388 ", 8 ," 6,263 ", 3 ," 7,518 ",
002016,,, 1 ," 1,118 ", 1 , 381 , 2 , 716 , 1 , 302 , 1 , 206 , 2 , 574 , 1 , 246 ,,,,, 4 , 829 ,,,,, 1 ," 1,223 ",,, 1 ," 2,504 ", 2 ," 2,399 ", 2 ," 2,715 ", 1 ," 4,404 ",,, 1 ," 3,293 ", 1 ," 4,435 ",
002017, 1 ," 1,101 ", 1 , 698 , 2 , 845 , 1 , 415 , 1 , 978 ,,, 4 , 750 , 4 , 776 , 11 , 826 , 3 , 772 , 7 , 897 , 7 , 876 , 5 ," 1,134 ", 2 ," 1,064 ", 1 ," 1,629 ", 3 ," 1,951 ", 6 ," 2,148 ", 7 ," 3,020 ", 1 ," 3,532 ", 2 ," 4,509 ",,, 1 ," 2,975 ",
002018,,, 2 , 716 , 2 , 570 ,,, 3 ," 1,268 ", 2 , 859 ,,,,,,, 2 ," 1,726 ", 1 , 350 ,,, 2 ," 1,364 ", 7 ," 1,719 ", 3 ," 1,279 ", 3 ," 1,848 ", 8 ," 2,137 ", 8 ," 2,783 ", 4 ," 2,676 ", 7 ," 2,900 ", 9 ," 3,280 ",,,
002019, 4 ," 1,924 ", 1 , 607 , 7 , 807 , 1 ," 1,741 ",,, 3 , 494 , 3 ," 1,426 ",,, 2 , 440 , 8 , 733 , 5 , 790 , 3 , 816 , 4 , 976 , 1 , 914 , 2 ," 1,635 ", 2 ," 2,702 ", 3 ," 2,713 ", 4 ," 2,814 ", 4 ," 3,640 ", 1 ," 2,034 ", 6 ," 3,972 ",,,
002020, 2 ," 1,026 ", 1 , 852 , 1 ," 1,037 ",,, 24 , 942 , 10 ," 1,807 ", 3 ," 1,252 ", 2 ,, 7 , 952 , 8 ," 1,066 ", 4 , 837 , 3 ," 1,365 ", 46 ," 1,673 ", 22 ," 1,534 ", 18 ," 1,611 ", 6 ," 1,474 ", 9 ," 2,732 ", 5 ," 2,294 ", 8 ," 3,081 ", 12 ," 3,824 ", 11 ," 4,202 ", 1 ," 3,337 ",
002022, 1 , 948 , 1 , 460 , 1 ," 1,036 ", 1 ," 1,266 ",,, 5 , 598 , 1 , 370 , 3 , 665 ,,,,, 3 , 802 , 7 , 951 , 22 ," 1,156 ", 37 ," 2,034 ", 5 ," 2,525 ", 11 ," 3,016 ", 5 ," 2,720 ", 7 ," 3,125 ", 5 ," 3,561 ", 1 ," 5,545 ", 4 ," 6,882 ",,,
002023, 1 , 980 , 8 ," 1,270 ", 5 , 577 , 16 , 524 , 21 , 526 , 22 , 795 , 5 , 795 , 8 , 382 , 5 , 259 , 10 , 554 , 7 ," 1,518 ", 12 , 987 , 7 ," 1,682 ", 15 ," 1,474 ", 6 ," 2,502 ",,, 7 ," 2,220 ", 2 ," 2,482 ", 2 ," 2,741 ", 6 ," 3,507 ", 1 ," 3,942 ",,,
002024, 1 , 461 , 1 , 858 , 2 , 845 , 1 , 770 , 2 , 620 , 3 , 483 , 4 , 772 , 1 , 504 , 2 , 825 , 4 , 598 , 6 ," 1,002 ", 3 ," 1,133 ", 5 , 945 , 5 ," 1,446 ", 1 ," 1,982 ", 2 ," 1,881 ", 1 ," 1,351 ", 3 ," 2,338 ", 3 ," 3,219 ", 1 ," 3,116 ", 5 ," 3,282 ", 3 ," 3,684 ",
002025,,,,,,,,,,,,,,, 1 ," 1,078 ", 1 ,,,,,,,, 2 ," 1,100 ", 2 ," 1,918 ",,,,, 3 ,, 5 ," 3,391 ", 12 ," 2,653 ", 5 ," 4,483 ", 5 ," 3,965 ", 1 ,,
002026, 1 , 348 ,,, 2 , 942 , 6 , 471 , 1 , 785 , 4 , 596 , 2 , 832 , 4 , 907 , 4 , 992 , 4 , 986 , 4 , 736 , 14 ," 1,111 ", 17 ," 1,911 ", 12 ," 2,097 ", 4 ," 1,924 ", 2 ," 2,841 ", 1 ," 3,077 ", 2 ," 2,700 ", 5 ," 3,539 ", 2 ," 3,665 ", 7 ," 4,565 ",,,
002027,,, 3 , 681 , 1 ," 1,106 ", 10 ," 1,059 ", 6 ," 1,209 ", 2 ," 1,090 ", 4 ," 1,045 ", 25 , 841 , 1 ," 1,235 ", 2 ," 1,062 ", 7 , 891 , 12 ," 1,268 ", 6 ," 1,316 ", 14 ," 1,817 ", 6 ," 2,436 ", 13 ," 1,649 ", 3 ," 3,605 ", 6 ," 2,542 ", 3 ," 4,907 ", 13 ," 4,802 ", 8 ," 4,373 ", 1 ," 6,107 ",
002028,,, 1 ," 1,186 ",,, 1 , 569 , 1 , 396 ,,,,,,, 2 , 585 ,,,,, 2 ," 1,109 ", 1 ," 1,431 ", 2 ," 1,255 ", 1 ," 2,650 ",,, 2 ," 2,619 ",,,,, 1 ," 2,915 ",,,,,
002030,,,,,,,,,,,,,,,,,,,,,,,,, 7 ," 2,103 ", 9 ," 2,017 ", 5 ," 2,010 ", 38 ," 2,335 ", 7 ," 2,551 ", 18 ," 3,850 ", 17 ," 4,152 ", 19 ," 3,736 ", 27 ," 3,735 ", 3 ," 4,411 ",
002031, 3 ," 1,051 ", 16 , 727 , 9 , 831 , 2 ," 1,114 ", 6 , 534 , 11 , 495 , 13 , 538 , 5 , 782 , 4 , 959 , 2 , 633 ,,, 25 ," 2,241 ", 6 ," 1,977 ", 4 ," 1,828 ", 1 ," 2,657 ", 2 ," 1,509 ", 1 ," 2,896 ", 4 ," 2,123 ", 2 ," 2,634 ", 1 ," 3,131 ", 1 ," 4,044 ",,,
002032, 2 ," 1,156 ", 2 , 899 , 1 , 625 ,,,,, 6 , 519 , 3 , 570 , 7 ," 1,631 ", 16 ," 1,695 ", 5 ," 1,035 ", 5 ," 1,025 ", 8 ," 1,190 ", 35 ," 1,460 ", 17 ," 1,614 ", 12 ," 2,303 ", 3 ," 2,686 ", 9 ," 1,927 ", 4 ," 3,330 ", 3 ," 3,357 ", 5 ," 4,420 ", 2 ," 4,253 ",,,
002033,,,,, 1 , 745 , 6 , 964 , 6 , 817 , 7 , 979 , 3 ," 1,026 ",,, 6 , 978 , 2 ," 1,091 ", 2 , 983 , 3 ," 1,137 ", 1 ," 1,084 ", 4 ," 1,553 ", 4 ," 1,801 ", 2 ," 2,192 ", 3 ," 2,565 ", 2 ," 3,749 ", 23 ," 3,151 ", 6 ," 2,659 ", 1 ,, 1 ," 4,046 ",
