Statistische Gebiete,Wanderungs-volumen pro 100 EW,Wanderungs-saldo pro 100 EW,Fortzug Kinder unter 6 J. pro 100 EW unter 6 J. ,Wanderungs-saldo Ausländer pro 100 EW,Ausländer unter 18 Jahren pro 100 EW unter 18 Jahren,Arbeitslose Deutsche 31.12.02 pro 100 deut. EW 18-60 J.,Arbeitslose Ausländer 31.12.02 pro 100 ausl. EW 18-60 J.,Veränderung Arbeitslose Deutsche 31.12.00 bis 31.12.02 in Prozentpunkten,Veränderung Arbeitslose Ausländer 31.12.00 bis 31.12.02 in Prozentpunkten,Arbeitslose unter 25 Jahren am 31.12.02 pro 100 EW 18-25 J. ,Langzeit-arbeitslose über 1 Jahr am 31.12.02 pro 100 EW 18-60 J. ,Deutsche Sozialhilfe-Empfänger pro 100 deutsche EW,Ausländische Sozialhilfe-Empfänger pro 100 ausl. EW,Veränderung des Anteils der deutschen SH-Empf. an den deutschen EW in %-Punkten,Veränderung des Anteils der ausl. SH-Empf. an den ausl. EW in %-Punkten,Langzeitfälle (über 2 Jahre) unter den Sozialhilfebeziehern pro 100 EW**,Sozialhilfebezieher unter 18 Jahren pro 100 EW unter 18 Jahren 
001-Westhafen,46.2,-2.0,25.5,-0.9,43.0,21.0,18.1,2.7,3.0,16.8,6.7,17.7,24.5,0.9,3.4,9.4,35.0
002-Turmstraße,40.3,-0.2,23.5,0.7,35.8,17.7,16.3,2.9,0.5,13.0,6.1,12.8,22.4,0.6,1.2,7.2,31.5
003-Hansaviertel,31.8,0.2,20.2,0.9,18.5,12.8,10.2,2.6,0.6,8.2,3.9,6.3,13.9,0.4,0.6,3.8,17.7
004-Tiergarten,35.6,3.8,25.0,2.9,5.3,10.2,3.6,6.0,3.6,10.0,2.7,1.7,11.1,1.7,11.1,0.0,0.0
005-Lützowplatz,37.2,0.1,19.7,0.7,36.9,13.4,12.0,1.5,0.7,7.9,4.6,11.3,20.3,0.8,-0.3,7.8,33.5
006-Soldiner Straße,42.4,-0.6,26.3,1.1,41.9,21.5,20.3,1.9,1.6,17.1,7.6,16.5,26.7,0.0,0.2,9.0,37.9
007-Gesundbrunnen,31.5,0.0,19.7,0.8,33.3,20.6,22.7,2.5,1.7,17.7,7.9,15.9,28.5,-0.7,-0.7,9.8,36.5
008-Humboldthain ,42.3,0.3,24.4,0.3,42.5,22.4,21.5,4.4,2.3,19.6,7.6,18.4,28.2,1.0,2.8,9.5,40.3
009-Leopoldplatz,43.3,-0.4,23.9,0.7,42.6,20.0,18.6,2.6,1.4,14.7,7.0,14.0,21.2,0.3,0.5,7.4,32.5
010-Rehberge,40.6,-1.9,21.7,0.3,9.4,7.3,7.1,0.5,0.2,5.9,2.2,2.3,3.4,0.9,3.4,0.6,0.0
011-Schillerpark,30.2,0.0,23.7,0.5,23.3,17.5,17.7,2.7,2.7,15.2,6.4,8.2,16.7,0.3,0.5,3.9,21.0
012-Mehringplatz ,33.8,-0.3,15.8,1.0,31.7,22.7,24.4,2.9,4.3,16.4,9.5,20.7,30.0,0.7,0.7,8.6,39.0
013-Moritzplatz ,28.9,0.4,15.3,0.8,37.1,26.1,29.3,3.7,3.3,20.5,11.7,17.5,33.0,0.6,-1.0,11.4,39.2
