Verkehrszellen,Wanderungs-volumen pro 100 EW,Wanderungs-saldo pro 100 EW,Fortzug Kinder unter 6 J. pro 100 EW unter 6 J. ,Wanderungs-saldo Ausländer pro 100 EW,Ausländer unter 18 Jahren pro 100 EW unter 18 Jahren,Arbeitslose Deutsche 31.12.02 pro 100 deut. EW 18-60 J.,Arbeitslose Ausländer 31.12.02 pro 100 ausl. EW 18-60 J.,Veränderung Arbeitslose Deutsche 31.12.00 bis 31.12.02 in Prozentpunkten,Veränderung Arbeitslose Ausländer 31.12.00 bis 31.12.02 in Prozentpunkten,Arbeitslose unter 25 Jahren am 31.12.02 pro 100 EW 18-25 J. ,Langzeit-arbeitslose über 1 Jahr am 31.12.02 pro 100 EW 18-60 J. ,Deutsche Sozialhilfe-Empfänger pro 100 deutsche EW,Ausländische Sozialhilfe-Empfänger pro 100 ausl. EW,Veränderung des Anteils der deutschen SH-Empf. an den deutschen EW in %-Punkten,Veränderung des Anteils der ausl. SH-Empf. an den ausl. EW in %-Punkten,Langzeitfälle (über 2 Jahre) unter den Sozialhilfebeziehern pro 100 EW**,Sozialhilfebezieher unter 18 Jahren pro 100 EW unter 18 Jahren ,Wanderungs-saldo mit dem Umland pro 100 EW,Wanderungs-saldo der Kinder unter 6 J. pro 100 EW unter 6 J. ,Wanderungs-saldo Deutsche pro 100 EW,Unter 18-Jährige pro 100 EW ,Über 64-Jährige pro 100 EW ,Ausländer pro 100 EW,EW mit türkischer Staatsangehörigkeit pro 100 EW ,EW aus ausgewählten arabischen Staaten pro 100 EW  *,EW aus den GUS-Staaten pro 100 EW ,EW mit polnischer Staatsangehörigkeit pro 100 EW ,EW aus Jugoslawien und dessen Nach-folgestaaten pro 100 EW ,EW aus EU-Staaten pro 100 EW ,Arbeitslose insgesamt 31.12.02 pro 100 EW 18-60 J.,Veränderung des Anteils der Arbeitslosen insgesamt 31.12.2000 bis 31.12.2002 in Prozentpunkten,Alleinerziehen-de Sozialhilfe-Bezieher mit Kindern unter 18 Jahren pro 100 EW 18-60 J.,Gemeinsam Erziehende Sozialhilfe-Bezieher (eheliche und nichteheliche Gemeinschaften) mit Kindern unter 18 Jahren pro 100 EW 18-60 J.,Sozialhilfe-empfänger pro 100 Einwohner,Veränderung des Anteils der SH-Empf. Insgesamt an den EW in %-Punkten vom 31.12.01 bis 31.12.02
0011-Großmarkt,48.8,1.9,31.3,1.9,47,21.7,15.3,3.9,2.9,17.2,5.9,16.6,18.9,2.3,4.4,7.8,35.9,0.4,1.2,0.0,16.1,8.7,34.1,6.8,6.5,1.0,2.4,6.8,4.9,19.5,3.5,2.2,3.3,17.4,3.0
0012-Putlitzstraße,42.2,-8.1,19.5,-5.2,39,19.3,22.7,0.2,4.3,16,8.2,19.7,33.2,-1.4,3.7,12.3,34.1,-0.3,-9.4,-2.9,27.1,6.4,38.2,24.2,3.0,0.7,1.0,2.0,3.1,20.7,1.9,3.1,9.9,24.8,0.3
0021-Emdener Straße,42.1,-0.6,26.9,0.4,35.8,17.8,16.2,2,1,13.6,5.7,13.3,21.2,0.6,0.4,7.2,32.2,-0.2,-6.1,-1.0,15.8,9.8,33.4,10.1,3.8,1.6,1.8,5.2,4.8,17.3,1.6,1.7,4.2,15.9,0.6
0022-Perleberger Straße,38.5,0.2,20.6,0.9,35.7,17.6,16.4,3.8,0,12.4,6.4,12.5,23.7,0.6,1.9,7.3,31,-0.1,-2.1,-0.7,18.0,11.3,31.3,11.9,3.0,2.1,1.3,3.4,3.8,17.2,2.6,1.8,4.7,16.0,1.0
0031-Levetzowstraße,31.1,0,20.7,1.2,16.8,12.6,8.9,2.7,0.8,6.9,3.8,5.7,11.3,0.2,0.1,3.4,15.5,-0.3,-3.3,-1.2,12.9,16.3,21.0,2.2,1.5,2.1,1.5,1.5,5.5,11.6,2.1,1.1,1.6,6.9,0.2
0032-Paulstraße,33.1,0.6,19.4,0.3,21.2,13.3,13,2.4,0.6,11.2,4.3,7.3,19.2,0.7,1.7,4.6,21.3,-0.1,0.9,0.3,14.6,14.5,20.0,4.9,1.7,1.4,1.3,2.2,4.1,13.2,2.0,1.4,2.1,9.7,0.9
0041-Tiergarten,35.6,3.8,25,2.9,5.3,10.2,3.6,6,3.6,10,2.7,1.7,11.1,1.7,11.1,0,0,-0.5,25.0,1.0,9.0,10.0,17.1,0.0,1.9,0.5,1.9,0.9,7.1,9.6,6.2,0.0,0.0,3.3,3.3
0051-Lützowufer,37.8,-0.2,25.2,1,26.6,12.1,8.1,1.4,-0.5,6.6,3.8,8.5,12,0.4,0.2,5.4,23.9,-0.2,-8.9,-1.3,13.0,14.0,30.0,2.3,2.5,4.3,1.6,1.7,5.7,10.6,0.6,1.4,2.8,9.6,0.4
0052-Potsdamer Brücke,36.7,0.4,16.3,0.4,43.6,14.6,15.2,1.7,1.8,9.1,5.4,14.2,26.2,1,-0.5,10.1,39.9,0.2,1.2,-0.1,18.3,9.1,39.3,9.0,4.5,4.2,2.5,3.5,5.8,14.8,1.7,2.2,6.0,18.9,0.4
0061-Soldiner Straße,42.4,-0.6,26.3,1.1,41.9,21.5,20.3,1.9,1.6,17.1,7.6,16.5,26.7,0,0.2,9,37.9,-0.3,-2.3,-1.6,21.5,11.6,35.8,17.1,3.6,0.9,1.8,5.5,2.5,21.0,1.8,3.0,7.3,20.2,0.1
0071-Gesundbrunnen,31.5,0,19.7,0.8,33.3,20.6,22.7,2.5,1.7,17.7,7.9,15.9,28.5,-0.7,-0.7,9.8,36.5,-0.2,-1.7,-0.9,22.0,14.9,30.0,17.0,2.5,1.1,1.6,3.0,1.7,21.4,2.3,3.0,8.0,19.7,-0.7
0081-Humboldthain,42.3,0.3,24.4,0.3,42.5,22.4,21.5,4.4,2.3,19.6,7.6,18.4,28.2,1,2.8,9.5,40.3,0.0,-1.7,0.0,21.6,10.3,37.8,18.6,4.0,0.9,1.8,5.7,2.4,22.1,3.6,2.6,8.6,22.1,1.7
0091-Rathaus Wedding,45,0.1,23.7,0.9,38.9,18.4,16.3,2.2,0.8,13.1,6.2,12.4,18.5,0.2,1,6.4,29.8,-0.1,-5.0,-0.8,16.8,9.1,35.9,12.9,2.8,1.1,1.8,4.2,3.7,17.6,1.7,1.8,4.0,14.6,0.5
0092-Reinickendorfer Straße,41.6,-0.9,24.1,0.5,45.6,22.2,20.9,3.1,2,16.5,8,15.8,23.8,0.4,0,8.5,34.7,-0.1,-3.5,-1.5,21.6,12.3,42.0,21.2,3.9,1.2,1.7,5.6,3.0,21.6,2.6,2.4,7.4,19.2,0.3
0101-Quartier Napoleon,33.1,-6,22,-0.4,2.5,5.8,3.4,2.9,3.4,7.3,0.9,1.1,0,0.3,0,0,0,-1.4,-12.2,-5.6,25.0,1.9,7.4,0.0,0.0,0.4,0.2,0.6,5.3,5.6,3.0,0.0,0.0,1.3,0.5
0102-Plötzensee,60.4,9.1,20,2.1,50,12.8,8.7,-8.4,-3.1,0,5.2,6.3,4.9,2.7,4.9,1.9,0,0.0,0.0,7.0,9.6,7.7,38.9,8.2,2.9,5.3,2.9,2.4,3.4,11.0,-6.7,0.0,0.0,5.8,3.6
0111-Afrikanische Straße,33.7,-0.3,25.9,0.6,26.7,17.8,17.9,3,2.4,15.1,6.4,9.1,17.4,0.5,0.6,4.1,23.1,-0.2,-6.4,-0.8,14.1,16.4,20.7,7.3,1.6,0.9,1.3,3.7,2.2,17.8,2.9,1.8,2.7,10.8,0.5
0112-Ungarnstraße,20.6,0.9,15.8,0.2,12.3,16.4,17,1.7,3.7,15.7,6.4,5.9,12.4,-0.1,-0.2,3.5,14.3,-0.4,-2.2,0.6,12.5,27.5,10.4,4.3,0.3,0.3,0.8,1.4,1.9,16.5,2.0,1.5,1.4,6.6,-0.1
0121-Mehringplatz,33.8,-0.3,15.8,1,31.7,22.7,24.4,2.9,4.3,16.4,9.5,20.7,30,0.7,0.7,8.6,39,0.0,-1.2,-1.2,24.1,9.7,34.1,13.1,3.7,3.3,2.0,2.6,3.5,23.3,3.5,3.1,8.1,23.8,0.8
