Ebene,Gebiet,Wanderungs-volumen pro 100 EW 2004,Wanderungs-saldo pro 100 EW 2004,Fortzug Kinder unter 6 J. pro 100 EW unter 6 J. 2004,Wanderungs-saldo Ausländer pro 100 EW 2004,Ausländer unter 18 Jahren pro 100 EW unter 18 Jahren am 31.12.2004,Arbeitslose Deutsche pro 100 deut. EW 18-60 J. am 31.12.2004 ,Arbeitslose Ausländer pro 100 ausl. EW 18-60 J. am 31.12.2004 ,Veränderung Arbeitslose Deutsche an deutschen 18-60 jährigen EW 31.12.02 bis 31.12.04 in Prozentpunkten,Veränderung Arbeitslose Ausländer an ausl. EW 18-60 Jahren 31.12.02 bis 31.12.04 in Prozentpunkten,Arbeitslose unter 25 Jahren pro 100 EW 18-25 J. am 31.12.2004 ,Langzeit-arbeitslose über 1 Jahr pro 100 EW 18-60 J. am 31.12.2004 ,Deutsche Sozialhilfe-Empfänger pro 100 deutsche EW am 31.12.2004,Ausländische Sozialhilfe-Empfänger pro 100 ausl. EW am 31.12.2004,Veränderung des Anteils der deutschen SH-Empf. an den deutschen EW 31.12.02 bis 31.12.04 in Prozentpunkten,Veränderung des Anteils der ausl. SH-Empf. an den ausl. EW 31.12.02 bis 31.12.04 in Prozentpunkten,Langzeitfälle (über 2 Jahre) unter den Sozialhilfebeziehern pro 100 EW am 31.12.2004**,Sozialhilfebezieher unter 18 Jahren pro 100 EW unter 18 Jahren am 31.12.2004,Wanderungs-saldo mit dem Umland pro 100 EW 2004,Wanderungs-saldo der Kinder unter 6 J. pro 100 EW unter 6 J. 2004,Wanderungs-saldo Deutsche pro 100 EW 2004,Unter 18-Jährige pro 100 EW am 31.12.2004,Über 64-Jährige pro 100 EW am 31.12.2004,Ausländer pro 100 EW am 31.12.2004,EW mit türkischer Staatsangehörigkeit pro 100 EW am 31.12.2004 ,EW aus ausgewählten arabischen Staaten pro 100 EW am 31.12.2004*,EW aus den GUS-Staaten pro 100 EW am 31.12.2004,EW mit polnischer Staatsangehörigkeit pro 100 EW am 31.12.2004,EW aus Jugoslawien und dessen Nach-folgestaaten pro 100 EW am 31.12.2004,EW aus EU-Staaten pro 100 EW am 31.12.2004,EW aus neuen Beitrittsstaaten der EU-Staaten pro 100 EW am 31.12.2004,(EW mit Migrationshintergrund + ausl. EW unter 18 Jahren) / EW unter 18 * 100 am 31.12.2004,Arbeitslose insgesamt pro 100 EW 18-60 J. am 31.12.2004,Veränderung des Anteils der Arbeitslosen insgesamt an den EW 18-60 Jährigen 31.12.2002 bis 31.12.2004 in Prozentpunkten,Anteil der svp. Beschäftigten pro 100 EWam 31.12.2004,Veränderung des Anteil der svp. Beschäftigten pro 100 EW 31.12.2002 bis 31.12.2004 in PP,Alleinerziehen-de Sozialhilfe-Bezieher mit Kindern unter 18 Jahren pro 100 EW 18-60 J. am 31.12.2004,Gemeinsam Erziehende Sozialhilfe-Bezieher (eheliche und nichteheliche Gemeinschaften) mit Kindern unter 18 Jahren pro 100 EW 18-60 J. am 31.12.2004,Sozialhilfe-empfänger pro 100 Einwohner am 31.12.2004,Veränderung des Anteils der SH-Empf. Insgesamt an den EW vom 31.12.02 bis 31.12.04 in Prozentpunkten,Empfänger nach dem Grundsicherungsgesetz in % der EW am 31.12.2004
Statistische Gebiete,001-Westhafen,44.07507915,-1.876978743,24.67948718,0.497512438,37.3081464,20.0319659,16.87087653,-0.937475614,-1.187199693,10.76604555,8.270932607,18.63462208,25.80428954,0.973359579,1.287758041,11.11620445,37.54427391,-0.113071009,-9.294871795,-2.37449118,19.41324777,8.388723355,34.19665368,12.72060509,4.813201925,1.260600504,2.452440981,4.011001604,2.979601192,2.979601192,43.44746163,18.89040163,-1.009598366,23.0116892,-1.399683519,2.382573179,2.518720218,21.08640843,0.984231624,0.458400183
Statistische Gebiete,002-Turmstraße,40.35588752,-0.615114236,21.97496523,0.78427065,33.36361277,17.40496706,16.18414808,-0.33309904,-0.093176249,8.681607107,7.523542045,13.81527415,23.43292724,0.979701004,0.991876869,9.465510776,34.27199585,-0.090070299,-6.363004172,-1.399384886,16.9986544,11.15302318,32.41126773,10.55081287,3.542673108,1.94780844,1.980896918,4.208854477,3.646350341,2.435312024,40.43602388,16.98000991,-0.257153902,23.44870183,0.569013146,1.675202379,2.111349744,16.93247744,0.996902912,0.465444599
Statistische Gebiete,003-Hansaviertel,31.18181094,0.147328183,17.55725191,0.915823843,18.41055539,11.58618377,9.948015123,-1.2424433,-0.230769144,5.511069242,4.560643564,6.422064777,13.64493027,0.145810762,-0.271910439,4.755445624,18.4719239,-0.29863821,-1.017811705,-0.76849566,13.00167558,16.109471,21.16811617,3.067900742,1.819197319,1.843134126,1.902976143,1.651639671,4.312614697,2.317880795,21.66308684,11.15717822,-0.99852128,26.74938163,-1.530753259,1.027227723,0.761138614,7.951009335,0.096723397,0.386978377
Statistische Gebiete,004-Tiergarten,30.15075377,1.005025126,33.33333333,4.522613065,4.347826087,14.67889908,0,4.509407557,-3.333333333,11.11111111,5.072463768,2.395209581,0,0.680923867,-11.11111111,1.492537313,0,-0.502512563,0,-3.51758794,11.44278607,9.452736318,16.91542289,0.497512438,0.995024876,0.995024876,0.995024876,0.995024876,4.975124378,1.990049751,4.347826087,12.31884058,3.535056796,37.81094527,-5.317016812,0,0,2.985074627,-0.332460918,0
Statistische Gebiete,005-Lützowplatz,38.25589822,-0.265721878,19.9066874,0.660278605,33.88888889,12.51971609,10.77348066,-0.850282015,-1.252027992,5.660377358,5.534213685,13.65606042,21.05753552,2.348340142,0.740793441,10.15359741,43.5,-0.048313069,-2.021772939,-0.926000483,14.55133387,12.41713824,34.70493129,5.295068715,3.953112369,4.405820534,2.360549717,2.344381568,4.818108327,3.03152789,39.5,11.83673469,-1.016405628,23.24171382,-2.115400848,2.280912365,2.06482593,16.22473727,1.77441764,0.557801132
Statistische Gebiete,006-Soldiner Straße,42.31808399,-0.242707332,23.62893816,0.911297339,38.78972573,21.53465347,18.1511976,0.009393615,-2.106098862,11.41257537,8.849821216,17.25895613,25.8917278,0.720793865,-0.7867847,11.22051752,40.16107967,-0.224389797,-2.158693116,-1.154004671,21.0396153,11.9441264,36.20792306,16.75291962,3.691321273,1.067094115,2.441035035,5.289672544,2.276162125,2.683764598,47.64910753,20.18772348,-0.8477312,21.0396153,-2.688582378,2.778605483,3.046781883,20.38470346,0.217552295,0.40302267
Statistische Gebiete,007-Gesundbrunnen,32.70446431,-1.012086076,18.58700806,0.641970456,32.70333075,20.08462369,20.57679844,-0.542596266,-2.17279239,11.61452715,9.409722222,15.29326923,26.98650675,-0.612563062,-1.534126806,11.71278784,36.17350891,-0.176869411,-1.612138454,-1.654056533,21.41814321,15.44229876,30.98413962,16.89561351,2.654456168,1.26750282,1.987524056,3.099077576,1.718760369,2.173335988,40.21688613,20.26041667,-1.101391525,21.81631163,-1.104534914,2.384259259,3.53587963,18.91631827,-0.778199885,0.424712987
Statistische Gebiete,008-Humboldthain,40.10515554,-1.840221995,19.67833491,-0.014604936,40.22229941,21.38390155,19.62318841,-1.013939619,-1.925236675,12.24340176,9.468300226,20.17764974,25.90803709,1.742745075,-2.30054478,12.78596283,42.37582494,-0.306703666,-3.878902554,-1.825617059,21.31487377,11.02391353,38.32087066,17.92403939,4.123787666,1.273413785,2.006367069,5.663729918,2.176649145,2.369141926,48.07224731,20.66135363,-1.400381951,22.21810913,-2.094418152,2.414654455,3.889615796,22.37358407,0.243509864,0.444214111
Statistische Gebiete,009-Leopoldplatz,44.63152536,0.080004364,23.01298701,1.256432169,40.8881642,19.61715461,16.78836792,-0.340657369,-1.782683668,9.524566704,8.48826239,15.30087511,20.98303848,1.340567052,-0.260557232,9.718220531,35.73757913,-0.074549521,-2.519480519,-1.176427805,18.89281508,11.18782278,39.7426837,16.17287306,3.734710519,1.404367129,2.513364139,4.780284498,3.158466975,2.906586935,49.66430079,18.39169765,-0.98248676,22.2343028,-2.775655556,2.242077807,2.447416616,17.55911933,0.767520557,0.400471143
Statistische Gebiete,010-Rehberge,38.24884793,-3.225806452,15.55555556,-0.614439324,7.56302521,7.046070461,0,-0.258715434,-7.070707071,6.779661017,2.997858672,2.099236641,0,-0.205727898,-3.448275862,0.94488189,0,-1.382488479,-2.222222222,-2.611367127,18.74015748,3.622047244,17.48031496,2.204724409,0.472440945,2.992125984,1.102362205,0.94488189,4.566929134,1.732283465,7.56302521,6.423982869,-0.834081647,34.96062992,2.313571098,0,0,1.88976378,-0.61023622,1.417322835
