Ebene,Gebiet,Jahr,Wanderungs-volumen pro 100 EW 2004,Wanderungs-saldo pro 100 EW 2004,Fortzug Kinder unter 6 J. pro 100 EW unter 6 J. 2004,Wanderungs-saldo Ausländer pro 100 EW 2004,Ausländer unter 18 Jahren pro 100 EW unter 18 Jahren am 31.12.2004,Arbeitslose Deutsche pro 100 deut. EW 18-60 J. am 31.12.2004 ,Arbeitslose Ausländer pro 100 ausl. EW 18-60 J. am 31.12.2004 ,Veränderung Arbeitslose Deutsche an deutschen 18-60 jährigen EW 31.12.02 bis 31.12.04 in Prozentpunkten,Veränderung Arbeitslose Ausländer an ausl. EW 18-60 Jahren 31.12.02 bis 31.12.04 in Prozentpunkten,Arbeitslose unter 25 Jahren pro 100 EW 18-25 J. am 31.12.2004 ,Langzeit-arbeitslose über 1 Jahr pro 100 EW 18-60 J. am 31.12.2004 ,Deutsche Sozialhilfe-Empfänger pro 100 deutsche EW am 31.12.2004,Ausländische Sozialhilfe-Empfänger pro 100 ausl. EW am 31.12.2004,Veränderung des Anteils der deutschen SH-Empf. an den deutschen EW 31.12.02 bis 31.12.04 in Prozentpunkten,Veränderung des Anteils der ausl. SH-Empf. an den ausl. EW 31.12.02 bis 31.12.04 in Prozentpunkten,Langzeitfälle (über 2 Jahre) unter den Sozialhilfebeziehern pro 100 EW am 31.12.2004**,Sozialhilfebezieher unter 18 Jahren pro 100 EW unter 18 Jahren am 31.12.2004,Wanderungs-saldo mit dem Umland pro 100 EW 2004,Wanderungs-saldo der Kinder unter 6 J. pro 100 EW unter 6 J. 2004,Wanderungs-saldo Deutsche pro 100 EW 2004,Unter 18-Jährige pro 100 EW am 31.12.2004,Über 64-Jährige pro 100 EW am 31.12.2004,Ausländer pro 100 EW am 31.12.2004,EW mit türkischer Staatsangehörigkeit pro 100 EW am 31.12.2004 ,EW aus ausgewählten arabischen Staaten pro 100 EW am 31.12.2004*,EW aus den GUS-Staaten pro 100 EW am 31.12.2004,EW mit polnischer Staatsangehörigkeit pro 100 EW am 31.12.2004,EW aus Jugoslawien und dessen Nach-folgestaaten pro 100 EW am 31.12.2004,EW aus EU-Staaten pro 100 EW am 31.12.2004,EW aus neuen Beitrittsstaaten der EU-Staaten pro 100 EW am 31.12.2004,(EW mit Migrationshintergrund + ausl. EW unter 18 Jahren) / EW unter 18 * 100 am 31.12.2004,Arbeitslose insgesamt pro 100 EW 18-60 J. am 31.12.2004,Veränderung des Anteils der Arbeitslosen insgesamt an den EW 18-60 Jährigen 31.12.2002 bis 31.12.2004 in Prozentpunkten,Anteil der svp. Beschäftigten pro 100 EWam 31.12.2004,Veränderung des Anteil der svp. Beschäftigten pro 100 EW 31.12.2002 bis 31.12.2004 in PP,Alleinerziehen-de Sozialhilfe-Bezieher mit Kindern unter 18 Jahren pro 100 EW 18-60 J. am 31.12.2004,Gemeinsam Erziehende Sozialhilfe-Bezieher (eheliche und nichteheliche Gemeinschaften) mit Kindern unter 18 Jahren pro 100 EW 18-60 J. am 31.12.2004,Sozialhilfe-empfänger pro 100 Einwohner am 31.12.2004,Veränderung des Anteils der SH-Empf. Insgesamt an den EW vom 31.12.02 bis 31.12.04 in Prozentpunkten,Empfänger nach dem Grundsicherungsgesetz in % der EW am 31.12.2004
Verkehrszellen,0011-Großmarkt,31/ Dec 04,49.24,-2.33,31.74,0.04,36.53,19.48,14.31,-2.25,-1.01,10.19,7.36,17.26,19.91,0.68,1.02,9.22,35.60,-0.035273369,-13.77245509,-2.363315697,15.37630537,9.038530789,32.19301404,6.37378466,5.905653583,1.116312568,3.31292762,5.221462009,3.637018365,3.961109111,43.79391101,17.71573604,-1.781751397,24.5228664,-0.93231567,1.878172589,1.573604061,18.11307166,0.746124881,0.468131077
Verkehrszellen,0012-Putlitzstraße,31/ Dec 04,35.29,-1.13,18.62,1.39,38.10,21.28,21.28,1.95,-1.40,11.95,10.12,21.26,34.62,1.59,1.39,14.44,39.52,-0.252047889,-5.517241379,-2.520478891,26.48171501,7.250945776,37.70491803,23.83354351,2.90037831,1.513240858,0.945775536,1.891551072,1.828499369,1.261034048,43.0952381,21.28099174,0.587922429,20.36569987,-2.234543139,3.305785124,4.44214876,26.2925599,1.444443253,0.441361917
Verkehrszellen,0021-Emdener Straße,31/ Dec 04,43.05,-0.06,24.30,1.43,34.14,17.64,16.04,-0.21,-0.16,8.44,7.37,14.71,22.80,1.45,1.65,9.30,36.21,-0.139495955,-5.58490566,-1.483306984,16.32785668,10.38707881,34.07128933,9.570221851,4.242086698,1.703332405,2.334540054,5.258516662,4.158544509,2.840434419,40.8470722,17.05410549,-0.210615854,22.90448343,-0.240497643,1.740076128,2.134312126,17.46495869,1.571311591,0.464123271
Verkehrszellen,0022-Perleberger Straße,31/ Dec 04,37.86,-0.98,20.31,0.32,32.71,17.19,16.34,-0.44,-0.02,8.91,7.67,13.05,24.06,0.58,0.38,9.62,32.64,-0.058299325,-7.092198582,-1.303406346,17.60625552,11.84680708,30.90763863,11.43902131,2.909152058,2.169252112,1.6605709,3.258082146,3.18241056,2.068356665,40.09073543,16.90992092,-0.300817678,23.9416488,1.301070043,1.613836559,2.08962901,16.45016185,0.476797828,0.466641443
Verkehrszellen,0031-Levetzowstraße,31/ Dec 04,29.83,0.38,17.53,1.12,17.59,10.88,8.27,-1.70,-0.64,4.40,4.24,5.60,11.27,-0.11,-0.02,3.98,16.43,-0.192249925,-1.859229748,-0.738960649,12.4804523,16.61253458,21.93552268,2.111151209,1.882593528,2.038975099,1.948754962,1.575845062,4.938048839,2.399855648,20.91566265,10.15398973,-1.457014038,26.44652953,-1.662479155,0.933271115,0.662622492,6.844701071,-0.039744961,0.342836521
Verkehrszellen,0032-Paulstraße,31/ Dec 04,33.96,-0.07,17.84,0.74,19.85,12.89,13.95,-0.39,1.00,8.06,5.20,7.99,18.87,0.64,-0.35,6.28,22.04,-0.49592632,0.938967136,-0.814736096,14.02843602,15.11848341,19.6563981,4.952606635,1.694312796,1.457345972,1.812796209,1.800947867,3.08056872,2.156398104,22.97297297,13.13131313,-0.072226692,27.34597156,-1.264884002,1.175390266,0.955004591,10.13033175,0.401720898,0.473933649
Verkehrszellen,0041-Tiergarten,31/ Dec 04,29.65,1.51,33.33,4.52,4.35,14.68,0.00,4.51,-3.33,11.11,5.07,2.40,0.00,0.68,-11.11,1.49,0.00,-0.502512563,0,-3.015075377,11.44278607,9.452736318,16.91542289,0.497512438,0.995024876,0.995024876,0.995024876,0.995024876,4.975124378,1.990049751,4.347826087,12.31884058,3.535056796,37.81094527,-5.317016812,0,0,2.985074627,-0.332460918,0
Verkehrszellen,0051-Lützowufer,31/ Dec 04,34.57,0.05,20.66,0.65,25.71,11.59,8.00,-0.48,-0.11,4.58,4.79,9.26,12.66,0.71,0.71,6.22,29.97,-0.170386778,-1.652892562,-0.596353723,12.0941419,15.40972342,30.25253393,2.267651606,2.971997938,4.380690603,1.855351314,1.460230201,5.067857756,2.473801752,29.97159091,10.24223275,-0.379657793,23.6213709,-1.831676877,1.500789889,1.105845182,10.29032812,0.718664201,0.669987975
Verkehrszellen,0052-Potsdamer Brücke,31/ Dec 04,41.62,-0.52,19.70,0.76,39.14,13.34,12.93,-1.26,-2.24,6.52,6.16,18.10,26.90,3.87,0.70,13.65,52.19,0.045801527,-1.995012469,-1.282442748,16.73537945,9.757214842,38.6623912,7.985952054,4.825164147,4.428156971,2.80958925,3.130248893,4.596121545,3.52725607,45.62043796,13.17299206,-1.653228797,22.90426019,-2.364638459,2.890556046,2.868490733,21.49946557,2.562940798,0.458085204
Verkehrszellen,0061-Soldiner Straße,31/ Dec 04,42.33,-0.19,23.80,0.97,38.79,21.53,18.15,0.01,-2.11,11.41,8.85,17.26,25.89,0.72,-0.79,11.22,40.16,-0.233548564,-2.333722287,-1.163163438,21.0396153,11.9441264,36.20792306,16.75291962,3.691321273,1.067094115,2.441035035,5.289672544,2.276162125,2.683764598,47.64910753,20.18772348,-0.8477312,21.0396153,-2.688582378,2.778605483,3.046781883,20.38470346,0.217552295,0.40302267
