NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
1011101,Planungsraum,Stülerstr.,"3,302",39.8,1.1,-0.7,-0.1,0,3.7,8.3,4,3.7,23.8,19.2,,6.8,18.7,34.2,1.2,5.2,3.7,1.1,6.1,1.9,1.2,21.9
1011102,Planungsraum,Großer Tiergarten,200,20.1,3.2,-0.4,-0.9,0,0,8.8,0,2.9,0,0,,9,14.5,15,0,2,1.5,1.5,5.5,1.5,0,0
1011103,Planungsraum,Lützowstr.,"4,718",30.3,0.4,-1.8,2.5,-2.2,-0.6,14.8,9.1,6.7,49.2,27.5,,13.2,16,30.5,4.2,2.3,5.3,2.6,4.9,3.5,2.6,34.6
1011104,Planungsraum,Körnerstr.,"3,782",38.9,0.2,-0.5,-0.2,1.1,-0.9,16.1,9.1,6.9,69.2,33.2,,20.2,6.5,41.7,9.7,6.2,4.5,3.4,3.8,4.2,3.4,42.1
1011105,Planungsraum,Nördl. Landwehrkanal,775,56.4,15.6,0.8,0.9,20,4.4,4.6,0,1.8,18.2,32.3,,12.4,9.5,35.7,0.5,2.3,2.7,1.2,7.2,3.1,1.5,32.3
1011201,Planungsraum,Wilhelmstr.,"2,226",21.9,0.1,-1.6,-0.7,-2.2,4.4,7.5,5,3.1,31.4,22.8,,15,14.4,27,0.4,1.6,9.7,0.4,2.6,1.6,1.2,27.3
1011202,Planungsraum,Unter den Linden Nord,462,47.6,6.7,-1.0,-0.6,26.3,-1.2,4.6,0,0.9,4.1,10.3,,12.6,12.1,20.8,0,1.3,2.6,1.3,7.1,1.3,0,10.3
1011203,Planungsraum,Unter den Linden Süd,983,26.7,-2.4,0.1,0.0,-2.6,-2.4,5.5,0,2.2,24.4,36.3,,10.4,13.4,39.9,0.6,0.6,26,0.4,4.6,1.3,1.3,39.2
1011204,Planungsraum,Leipziger Str.,"5,617",25.2,1.1,-2.1,-0.2,-1.8,5.5,8.2,5.5,3.3,23.1,20.7,,8.1,22.1,22,0.9,1.2,3.8,1.8,3.3,2.2,1.1,25.3
1011301,Planungsraum,Charitéviertel,"4,403",44.7,1.6,-0.8,-0.3,-15.8,-0.1,5.8,5.5,1.9,14.1,11,,9.1,7.5,19.7,0.7,0.6,2,0.9,6.7,1.9,1.2,11
1011302,Planungsraum,Oranienburger Str.,"11,664",37.9,0.3,-1.2,-0.7,-6,-0.4,8.5,6.8,3.3,25.7,11.4,,14.1,6.7,18.6,0.8,0.5,1.4,0.6,7.4,1.1,0.7,13.6
