Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
,Berlin,"3,362,842  ",9.4,5.8,3.4,13.8,37.4,42.8,27.4,0.4,-0.4,-0.5,0.0,-1.2,18.0,0.2,-0.2,5.2,14.5,18.9,14.0,26.1,11.1,43.4,3.3,1.0,1.0,1.4,2.4,1.9,1.3,4.3,-0.8,-0.4,-0.6,14.0,26.2
01011101,Stülerstr.,"3,140  ",6.0,4.2,1.8,7.1,24.6,70.9,42.2,-3.9,-1.3,-0.1,1.9,1.0,26.6,-1.4,-0.2,2.7,5.7,20.0,34.5,49.3,23.5,70.6,1.1,5.3,4.6,1.5,4.8,2.7,1.6,7.5,0.3,1.1,-0.4,10.7,9.9
01011102,Großer Tiergarten,184  ,4.5,0.0,2.6,4.3,0.0,52.9,46.0,-1.6,0.0,-0.6,1.8,0.0,0.0,-1.6,0.0,1.6,9.2,10.3,15.2,25.0,17.6,100.0,0.0,0.0,1.6,1.6,6.5,1.6,1.6,8.2,-2.1,0.0,-1.1,7.1,14.3
01011103,Lützowstr.,"4,712  ",9.3,3.6,3.1,17.6,46.5,79.3,29.5,0.8,0.5,-0.2,0.4,0.8,16.5,1.8,0.1,4.1,12.9,16.1,28.9,50.0,21.8,71.1,4.4,2.1,4.7,1.9,5.2,3.8,2.0,9.0,-0.3,-1.0,-1.4,15.6,27.7
01011104,Körnerstr.,"3,747  ",11.5,7.1,4.2,27.5,68.7,85.0,39.5,-1.6,-6.4,-0.6,1.7,-2.6,16.7,0.9,0.5,6.4,18.7,6.5,37.0,64.2,23.4,86.2,8.6,5.8,4.2,3.3,3.9,4.1,2.1,8.0,0.1,1.0,-0.1,21.6,32.4
01011105,Nördl. Landwehrkanal,875  ,3.5,0.0,1.1,4.0,12.9,64.6,47.1,5.7,-6.1,0.9,-0.6,-2.9,30.3,1.9,-0.6,4.2,11.0,10.3,35.5,51.9,37.5,91.9,1.0,2.7,5.5,0.7,7.2,1.4,0.3,8.6,0.5,0.0,-0.2,5.7,4.8
01011201,Wilhelmstr.,"2,120  ",4.5,2.1,1.4,7.9,26.5,62.6,25.1,-4.2,0.0,-0.5,0.2,-2.8,14.3,-2.5,0.0,4.2,13.3,15.5,26.9,41.3,27.8,65.2,0.7,2.6,9.3,0.6,3.0,3.1,0.6,6.0,0.0,-1.2,-0.3,7.0,10.9
01011202,Unter den Linden Nord,456  ,2.9,0.0,0.0,4.4,9.2,35.3,42.5,2.8,-14.3,0.7,4.5,5.1,38.1,3.7,-0.5,5.3,14.9,9.2,19.3,27.2,8.8,50.0,0.0,2.0,2.0,0.7,8.6,0.0,0.0,8.6,-1.0,0.0,0.0,5.4,4.5
01011203,Unter den Linden Süd,934  ,1.9,0.0,0.4,3.0,12.9,47.8,29.7,-4.1,4.8,-1.9,-1.3,-3.6,19.0,-0.8,-0.1,2.7,9.6,13.5,39.7,46.7,26.7,64.0,1.0,0.3,23.2,0.6,6.4,2.9,1.3,9.3,-1.6,0.0,-0.9,4.4,1.9
01011204,Leipziger Str.,"5,693  ",5.4,3.2,1.9,6.0,20.3,62.7,26.5,2.1,14.3,-0.2,-0.4,-4.7,13.7,0.9,0.1,4.1,9.1,23.9,22.0,34.1,21.0,67.8,0.7,1.9,4.0,1.5,3.4,5.1,0.9,8.4,-0.2,-0.1,-0.1,7.1,11.2
01011301,Charitéviertel,"4,565  ",4.0,0.7,1.1,3.8,9.3,44.1,44.2,1.1,-14.2,0.1,-0.1,-0.3,33.9,0.5,-0.1,5.0,9.5,8.4,19.8,28.0,12.5,41.0,0.4,0.8,2.0,0.6,7.1,2.1,0.9,9.2,0.2,-0.3,0.0,6.8,4.4
01011302,Oranienburger Str.,"11,793  ",6.0,3.8,1.7,7.8,19.7,36.4,34.7,0.0,-2.9,-0.8,-0.3,-2.9,13.4,-0.6,-0.2,6.6,14.5,6.7,17.9,27.3,7.8,38.8,0.7,0.3,1.4,0.6,7.0,1.6,0.6,8.6,-0.1,-0.2,-0.6,10.2,9.2
01011303,Alexanderplatzviertel,"8,032  ",7.4,2.9,2.3,9.3,33.7,55.4,31.1,-0.1,-7.2,-0.9,0.0,-2.9,23.5,-1.3,-0.3,4.5,9.1,20.4,18.4,28.6,17.3,55.4,0.5,0.9,2.0,0.8,4.9,1.7,0.8,6.7,-0.5,-2.1,-0.6,11.0,16.1
01011304,Karl-Marx-Allee,"8,237  ",8.8,5.8,2.8,11.1,48.6,64.0,21.6,1.3,0.6,-0.4,1.0,2.5,18.8,-0.2,-0.3,3.8,10.3,37.0,14.2,26.7,24.1,62.5,1.6,0.8,1.7,1.2,1.3,1.6,0.5,3.0,0.2,1.0,0.0,8.4,30.2
01011305,Heine-Viertel West,"6,079  ",7.7,4.9,2.3,8.2,42.7,56.8,25.7,-1.3,-7.2,-0.6,-0.4,4.1,21.6,-1.5,-0.2,3.1,8.9,32.5,14.5,24.7,19.9,55.9,1.0,1.0,2.0,0.5,2.4,2.6,0.6,5.0,0.2,1.6,-0.4,8.3,17.2
01011306,Heine-Viertel Ost,"7,348  ",7.7,4.8,2.4,8.1,28.3,55.8,33.2,0.0,-6.0,-0.3,1.1,0.7,20.5,-0.6,-0.2,4.7,9.9,19.6,16.6,28.3,16.0,57.3,3.7,1.3,1.2,1.1,2.2,1.7,0.9,4.0,-0.7,-0.1,-0.8,10.3,15.5
01011401,Invalidenstr.,"12,995  ",5.4,2.6,1.5,6.6,14.7,34.2,42.9,-0.2,-6.8,-0.6,0.0,-2.2,24.3,0.0,-0.2,6.8,12.9,6.7,17.5,25.7,8.4,34.3,0.7,0.4,1.2,0.5,6.9,2.1,1.0,9.1,-1.0,-1.0,-0.7,9.4,8.5
01011402,Arkonaplatz,"11,018  ",5.3,2.9,1.4,5.6,12.3,28.6,40.4,0.4,-3.9,-0.4,0.2,-1.1,20.8,-0.6,0.0,7.8,12.8,6.1,16.4,23.5,6.8,32.1,0.2,0.2,1.0,0.5,7.4,1.5,0.4,8.9,-0.3,-1.3,-0.1,8.9,6.3
01022101,Huttenkiez,"2,873  ",13.5,9.2,4.6,22.1,64.8,68.1,47.3,-1.3,-12.4,-1.7,0.6,5.0,31.0,0.6,0.7,4.8,11.6,9.6,30.0,43.4,26.5,61.3,4.9,4.9,0.8,3.2,3.0,7.3,5.9,10.3,-1.4,0.0,-1.2,26.3,26.9
01022102,Beusselkiez,"5,480  ",14.8,7.4,4.7,26.8,60.4,78.0,42.9,-1.5,-6.0,-1.4,0.8,-7.5,21.0,-0.7,0.0,6.6,16.4,9.4,38.2,55.6,34.1,76.3,9.0,5.0,1.7,5.6,4.4,5.7,4.1,10.0,-1.2,-1.9,-1.4,27.6,32.9
01022103,Westhafen,163  ,15.2,0.0,4.0,41.1,62.5,46.9,25.6,-7.0,-5.6,-1.6,7.8,-19.0,5.6,-1.7,-0.6,9.2,19.6,3.7,23.6,46.6,0.0,80.0,13.4,1.9,1.9,3.8,0.0,2.5,2.5,2.5,-4.7,0.0,-2.6,40.5,40.5
01022104,Emdener Str.,"16,420  ",12.0,6.1,4.0,20.1,51.7,69.0,37.8,-0.8,-4.5,-1.4,2.4,-0.3,22.0,0.0,0.1,5.7,14.3,11.2,27.4,44.5,20.8,68.7,7.1,2.0,1.6,3.7,3.6,3.7,2.7,7.3,-0.2,-2.2,-0.6,20.0,30.5
01022105,Zwinglistr.,"4,423  ",14.3,8.5,5.2,27.2,68.8,83.1,37.1,-2.6,-1.7,-0.9,2.4,-1.7,15.5,0.1,-0.3,6.3,18.5,10.4,32.1,53.9,24.7,83.2,8.2,4.2,2.2,4.5,4.2,3.5,2.4,7.7,-0.8,-2.4,-0.8,21.4,38.3
01022106,Elberfelder Str.,"10,696  ",8.1,4.5,2.6,11.3,28.0,49.7,29.2,-1.5,-0.2,-0.9,4.2,-1.3,18.0,-0.1,0.1,5.2,14.1,16.1,16.0,29.7,11.8,46.4,2.4,1.1,1.5,1.7,3.3,2.1,1.4,5.3,-0.4,-0.5,-0.6,11.9,23.3
01022201,Stephankiez,"9,660  ",12.8,6.4,3.9,20.4,52.2,70.7,41.4,-1.5,-5.4,-0.8,2.5,0.1,21.4,0.8,0.2,5.5,15.6,9.5,28.1,46.5,21.2,70.0,9.2,2.1,1.1,3.1,3.7,3.1,2.1,6.8,-0.2,-2.1,-1.0,20.4,30.7
01022202,Heidestr.,"1,454  ",11.9,4.4,3.7,33.8,61.8,84.4,28.6,1.0,2.0,-2.1,-3.3,-1.6,15.7,1.9,-0.1,7.8,26.9,9.6,34.5,62.9,26.3,87.7,19.7,3.9,1.7,1.4,2.1,1.2,0.6,3.3,-4.2,-10.6,-2.0,20.3,44.1
01022203,Lübecker Str.,"6,294  ",14.7,8.8,4.3,27.0,65.5,84.5,34.9,1.3,4.9,-0.3,0.1,2.0,13.5,1.3,0.2,6.8,18.1,14.3,32.8,56.1,24.9,79.3,13.6,3.3,1.8,3.9,2.5,3.6,2.6,6.1,0.8,0.8,-1.0,21.2,40.0
01022204,Thomasiusstr.,"5,530  ",9.1,5.2,3.4,12.6,31.3,55.4,32.7,-1.2,0.0,-0.2,2.7,-2.0,17.4,0.1,0.2,4.6,12.8,17.2,18.7,32.7,16.3,55.3,3.9,1.8,1.5,1.4,3.5,2.3,1.6,5.8,0.2,0.0,-0.2,13.7,24.5
01022205,Zillesiedlung,"2,993  ",12.4,5.1,4.6,28.6,61.1,81.1,32.8,-0.5,4.3,0.4,4.7,2.4,14.4,0.5,-0.1,6.6,19.8,20.4,26.1,52.3,25.1,85.8,4.8,3.1,5.1,2.5,2.8,2.6,1.7,5.4,0.6,-3.0,-0.3,23.1,36.2
01022206,Lüneburger Str.,"2,940  ",8.2,4.0,2.3,13.0,38.4,60.7,29.3,-1.0,-2.8,-0.1,-0.7,-0.1,12.5,-0.6,0.0,5.4,13.8,12.9,19.0,34.7,16.7,51.9,3.6,1.2,1.8,0.9,4.6,2.1,1.4,6.7,0.4,0.3,-0.6,12.6,23.4
01022207,Hansaviertel,"5,777  ",6.0,1.8,1.9,9.4,29.7,56.4,37.5,-2.9,2.0,-0.3,2.7,0.2,14.2,-0.2,-0.1,3.6,9.4,21.3,28.6,40.7,9.9,53.9,1.3,1.7,2.4,1.2,7.4,3.9,2.2,11.2,0.5,0.0,-0.1,10.8,12.0
01033101,Soldiner Str.,"22,474  ",17.2,10.2,5.9,30.6,70.9,79.4,39.6,0.8,-1.9,-1.0,0.9,0.5,22.5,0.1,0.0,7.4,19.8,12.2,35.5,55.1,29.5,77.5,14.5,3.3,1.1,4.9,2.1,5.5,3.9,7.6,-1.0,-2.8,-1.3,27.0,37.9
01033102,Gesundbrunnen,"10,513  ",15.5,8.3,5.0,29.2,70.2,84.5,38.0,0.5,-2.6,-0.6,1.0,2.6,21.9,0.5,0.1,6.8,19.6,11.1,36.8,58.2,33.9,83.0,17.2,3.0,1.4,4.8,2.8,4.2,2.9,7.1,-0.5,-2.9,-1.1,23.8,37.9
01033201,Brunnenstr.,"12,349  ",15.6,8.2,5.0,35.6,72.7,87.3,29.7,-1.1,3.7,-0.8,2.1,-0.7,12.4,-1.4,-0.1,9.1,25.0,13.7,31.5,63.9,24.7,87.3,17.1,3.9,1.5,2.6,1.7,1.8,1.2,3.6,-0.1,-2.5,-1.1,23.9,45.2
01033202,Humboldthain Süd,"9,273  ",14.0,7.9,4.5,24.4,64.5,80.6,25.6,1.0,1.3,-0.9,1.2,4.1,12.1,0.7,0.0,6.3,17.2,19.6,27.0,51.4,21.0,87.5,13.7,1.7,1.2,2.5,2.0,2.6,1.9,4.5,-0.2,-1.0,-0.7,19.6,38.0
01033203,Humboldthain NW,"12,585  ",16.3,8.6,5.8,32.6,73.4,84.0,38.5,-0.5,-5.5,-0.8,1.6,1.1,21.7,-0.7,-0.1,7.6,21.0,11.5,36.7,59.3,31.7,84.2,15.0,3.8,1.6,5.2,2.1,4.3,3.2,6.4,-1.3,-3.6,-1.0,27.1,38.4
01044101,Rehberge,"17,988  ",12.9,9.3,4.3,19.9,52.6,65.1,31.9,1.0,-0.3,-0.5,0.3,-1.2,19.2,-0.4,0.0,5.4,14.1,16.0,24.1,39.6,20.0,70.4,7.9,1.8,1.1,3.3,2.3,3.6,2.4,5.8,-0.9,-0.7,-0.9,19.6,33.0
01044102,Schillerpark,"14,653  ",12.3,9.9,3.8,16.2,50.2,49.4,26.4,1.8,-5.5,-0.7,0.2,1.2,18.7,1.0,0.0,4.0,11.8,26.6,16.8,28.8,13.9,56.6,5.2,0.7,0.9,2.4,1.6,3.5,2.8,5.1,-0.8,-1.5,-1.4,17.0,29.2
01044103,Westl. Müllerstr.,"7,332  ",13.3,8.4,4.2,19.5,53.7,72.0,36.9,0.4,-6.3,-0.8,0.3,0.1,20.4,1.1,-0.1,5.4,13.7,11.5,32.0,47.4,29.8,70.4,8.9,2.4,2.5,2.7,2.9,4.7,3.5,7.6,-0.2,-2.8,-0.7,22.1,26.3
01044201,Reinickendorfer Str.,"20,258  ",16.8,9.9,5.5,33.2,75.3,88.1,39.3,-0.2,-3.8,-0.9,1.5,1.8,20.5,0.3,0.0,7.8,21.9,10.8,42.4,66.4,33.3,88.2,17.1,4.0,1.6,5.8,2.7,5.8,3.8,8.6,-0.5,-2.4,-1.3,26.0,38.3
01044202,Sparrplatz,"14,840  ",12.6,6.6,4.1,22.9,65.4,80.9,48.0,-0.6,-3.8,-1.4,0.8,1.7,25.4,-0.2,0.1,5.7,15.8,7.7,39.9,56.6,33.6,78.3,9.8,3.8,1.3,3.5,3.5,5.8,3.5,9.3,-0.9,-2.0,-0.9,23.8,25.2
01044203,Leopoldplatz,"14,408  ",14.8,7.9,4.8,27.3,70.6,84.1,43.0,0.0,-8.2,-0.2,0.3,2.9,25.1,0.5,0.1,6.1,15.9,15.1,38.7,57.3,30.2,81.6,14.8,3.3,1.1,4.4,3.5,5.0,3.4,8.5,-0.9,-3.5,-1.5,25.3,33.1
02010101,Askanischer Platz,"6,320  ",12.8,6.5,4.8,34.3,73.7,90.1,42.8,-0.8,-0.2,-0.8,-0.5,-0.1,17.0,-1.4,0.1,6.4,21.6,7.4,38.9,69.7,23.6,86.6,11.0,5.7,3.5,1.9,5.0,4.0,2.3,9.0,-1.6,-0.7,-0.6,29.0,33.4
02010102,Mehringplatz,"12,786  ",15.6,8.4,6.2,37.9,74.7,88.8,26.2,-0.2,0.1,-1.1,-1.1,-1.8,13.9,-1.0,0.0,8.2,23.8,13.0,32.1,65.9,21.4,92.9,14.3,4.2,2.6,2.8,2.8,2.0,1.4,4.8,-2.1,-1.6,-0.6,26.9,46.7
02010103,Moritzplatz,"14,652  ",16.5,9.5,6.5,36.2,76.0,86.7,26.4,1.0,-0.3,-0.5,1.6,1.9,14.0,-0.4,-0.2,7.4,20.8,15.3,33.2,61.9,23.1,86.9,22.3,2.0,0.4,1.3,2.3,2.0,1.4,4.3,-2.6,-2.6,0.0,26.9,48.0
02010104,Wassertorplatz,"4,995  ",15.7,12.5,6.3,40.6,77.6,86.4,26.5,0.5,2.9,-1.3,1.4,-1.0,13.1,-0.6,-0.2,8.0,25.4,10.7,35.9,66.5,25.3,85.8,22.2,5.0,0.7,1.2,2.9,1.1,0.7,4.0,-2.1,-1.1,0.2,24.8,52.6
02020201,Gleisdreieck/Entwicklungsgebiet,292  ,4.1,0.0,2.4,10.6,26.5,67.6,42.0,2.0,4.5,-5.7,-3.5,-8.8,13.6,-2.4,-0.7,7.5,12.7,4.1,31.8,47.6,0.0,86.4,5.1,1.0,3.4,1.0,9.9,2.1,2.1,12.0,-2.4,0.0,0.4,11.6,6.5
02020202,Rathaus Yorckstraße,"5,628  ",8.5,7.1,3.0,17.3,41.5,57.2,29.7,1.1,-1.0,-0.5,0.7,-3.5,12.8,0.4,0.0,5.7,15.9,9.1,26.5,40.8,16.3,55.2,5.9,2.8,1.0,2.8,5.8,2.9,2.1,8.7,-1.4,0.2,-0.3,15.6,25.8
02020203,Viktoriapark,"9,827  ",8.8,5.0,2.7,13.9,34.3,52.9,32.7,0.6,-3.3,-0.3,-0.5,-1.1,21.4,-0.4,-0.1,5.9,14.2,9.3,22.0,35.4,12.8,47.8,4.8,1.4,0.5,2.1,6.8,1.8,1.3,8.5,-0.1,-0.4,-0.5,15.4,21.0
02020204,Urbanstraße,"11,989  ",8.5,4.9,2.9,14.9,32.9,53.1,35.0,-0.2,-2.8,-0.4,-0.8,-1.5,21.1,-0.7,-0.2,5.1,14.2,9.1,25.3,38.0,16.0,44.9,5.9,1.6,0.4,2.5,7.1,2.7,1.7,9.7,-1.2,0.2,-0.7,16.4,21.5
02020205,Chamissokiez,"14,723  ",8.2,4.6,2.8,15.2,36.3,55.0,30.7,-0.3,0.1,-1.1,-0.9,-3.1,16.3,-0.2,0.0,5.8,15.6,8.0,24.1,38.2,13.4,53.4,8.1,1.4,0.4,1.7,6.8,1.4,0.9,8.1,-1.0,-0.3,-0.4,15.0,22.6
02020206,Graefekiez,"18,099  ",9.8,6.1,3.5,20.5,50.2,64.8,32.4,-0.6,-8.2,-1.2,-1.1,-5.0,19.4,-0.6,0.0,5.9,15.5,8.3,28.7,43.6,20.2,60.6,9.3,2.9,0.7,2.6,6.2,2.4,1.5,8.6,-2.1,-2.7,-0.7,18.7,28.4
02030301,Oranienplatz,"9,344  ",13.9,9.1,5.0,34.0,73.0,82.2,32.3,-0.1,-7.0,-1.8,-0.8,-1.7,19.5,0.0,0.0,6.1,18.4,8.0,42.7,65.3,27.5,77.3,28.5,1.9,0.4,1.2,5.5,1.3,0.5,6.8,-2.7,-2.9,-1.3,27.7,41.2
02030302,Lausitzer Platz,"13,160  ",12.1,8.8,4.3,27.0,58.1,74.9,32.9,0.2,-4.3,-0.8,-0.7,-0.7,19.7,-0.1,-0.1,6.7,17.5,9.3,34.4,53.7,21.2,71.7,18.8,1.9,0.5,1.6,5.6,1.8,0.9,7.5,-2.0,-2.2,-0.5,22.9,35.6
02030401,Reichenberger Straße,"14,914  ",11.1,6.4,3.8,20.7,53.7,68.6,34.8,-0.4,-5.6,-0.7,-1.3,-3.0,22.3,-0.8,0.1,5.9,14.3,7.3,30.1,45.6,19.0,60.4,11.4,1.7,0.3,2.0,7.3,2.1,1.2,9.5,-1.1,-1.4,-0.4,20.9,27.6
02030402,Wrangelkiez,"11,369  ",10.0,7.4,3.2,20.1,50.7,65.8,35.5,-0.4,-8.0,-1.2,-2.4,-2.9,18.8,-0.6,-0.2,5.0,13.9,7.2,34.3,48.0,23.5,57.1,16.4,1.0,0.3,1.5,7.5,3.0,2.1,10.4,-2.1,-1.5,-0.9,20.3,25.9
02040501,Barnimkiez,"5,525  ",8.9,4.3,3.1,13.5,53.9,47.5,19.1,1.4,1.3,-0.8,1.4,-1.9,16.0,0.8,-0.1,4.5,11.1,34.6,9.9,21.9,15.4,55.1,0.4,0.6,1.0,0.6,0.9,1.4,0.8,2.3,-2.2,-4.4,-0.6,11.2,33.5
02040502,Friedenstraße,"6,472  ",7.5,4.3,2.3,12.2,40.4,39.9,30.3,1.3,0.4,-0.5,-2.0,-1.5,20.1,0.6,-0.4,4.2,10.5,22.4,9.2,18.9,10.2,40.1,0.3,0.1,1.2,0.7,1.7,1.0,0.6,2.8,-1.3,-0.5,-0.2,12.7,22.7
02040503,Richard-Sorge-Viertel,"9,355  ",7.3,4.6,2.2,10.8,29.9,29.0,35.3,0.4,-11.9,-1.2,-1.2,-4.5,23.4,-0.1,0.2,5.2,10.6,15.7,10.0,17.2,8.0,22.7,0.3,0.2,0.5,0.7,3.3,1.2,0.6,4.5,-1.5,-1.9,-0.6,12.6,20.8
02040701,Andreasviertel,"11,782  ",8.3,4.2,2.9,13.6,51.6,55.6,31.2,2.5,2.3,-0.2,-0.4,-2.9,18.8,1.8,-0.1,4.3,10.5,28.2,18.6,30.4,20.1,59.5,0.9,0.6,3.0,1.7,2.1,2.4,1.4,4.5,-0.7,-0.8,-0.4,12.7,20.8
02040702,Weberwiese,"9,968  ",6.9,5.1,1.9,8.5,20.3,22.2,34.6,0.6,-8.1,-0.2,-0.6,-3.5,22.6,0.2,-0.2,4.9,9.8,13.5,10.2,17.0,4.4,20.7,0.4,0.1,0.7,0.2,3.5,2.1,1.0,5.6,-0.7,0.0,-0.4,12.0,12.1
02040703,Wriezener Bahnhof/Entwicklungsgebiet,526  ,15.9,12.3,5.1,28.5,66.7,50.8,37.4,-0.8,-7.7,0.3,0.4,-0.7,20.5,-1.3,0.8,5.1,22.4,2.3,22.4,33.8,23.7,33.3,4.6,1.7,0.6,4.6,1.9,1.7,0.6,3.6,1.2,2.5,-0.1,24.8,39.8
02050601,Hausburgviertel,"8,111  ",9.0,5.2,3.1,12.2,35.8,31.5,46.2,-0.3,-12.7,-1.3,-1.4,-1.1,26.7,-0.7,0.0,4.7,9.5,6.3,12.8,17.9,11.6,32.6,0.4,0.4,0.8,1.1,4.5,1.4,0.7,6.0,-1.8,-1.9,-0.2,16.7,18.3
02050602,Samariterviertel,"18,022  ",8.5,5.3,2.7,12.9,32.4,29.8,42.4,0.5,-6.4,-1.2,-1.0,-3.9,20.6,-0.3,-0.3,6.4,12.2,5.3,12.8,19.3,8.1,26.0,0.5,0.2,0.8,0.8,4.7,1.7,1.0,6.4,-1.4,-0.5,-0.4,16.0,18.5
02050801,Traveplatz,"17,312  ",9.0,5.5,2.9,14.8,44.9,34.7,46.3,0.6,-7.1,-1.7,-1.1,-2.4,19.6,0.1,0.0,5.7,11.4,4.8,14.6,20.7,12.6,31.6,0.4,0.3,0.8,1.6,4.8,1.4,0.8,6.3,-1.5,-0.8,-0.4,17.3,20.7
02050802,Boxhagener Platz,"18,434  ",7.9,3.6,2.4,9.7,25.0,21.5,45.0,0.4,-10.9,-1.1,-0.9,-3.5,25.4,-0.6,-0.1,5.6,10.0,4.1,13.8,19.0,4.4,21.8,0.5,0.2,0.6,0.4,6.5,1.8,0.9,8.2,-1.3,-1.3,-0.5,14.8,10.8
02050803,Stralauer Kiez,"6,153  ",9.4,6.0,3.1,14.0,41.0,30.4,41.4,1.2,-8.6,-1.6,-0.3,-3.0,22.1,0.4,0.6,5.1,10.4,8.9,13.1,19.2,11.6,22.8,1.4,0.5,0.7,0.8,3.8,3.1,1.4,6.9,-1.9,-3.4,-0.3,18.2,16.6
02050804,Stralauer Halbinsel,"2,499  ",3.9,2.6,1.1,4.6,7.1,19.5,34.6,5.5,8.2,-1.2,-2.9,-3.2,14.1,5.2,-0.6,9.9,19.5,11.0,5.7,12.9,2.7,23.5,0.1,0.0,0.6,0.2,1.4,1.0,0.8,2.4,-1.1,-0.4,-0.3,5.8,7.7
03010101,Bucher Forst,"2,848  ",10.9,9.6,3.8,9.9,22.5,7.2,24.7,2.2,5.3,-0.3,4.0,-1.7,14.3,2.2,0.7,5.0,12.7,19.4,3.6,9.5,1.7,9.2,0.2,0.2,0.5,0.1,0.5,1.1,0.8,1.5,-0.7,0.8,-1.2,15.3,9.7
03010102,Buch,"10,515  ",13.8,9.9,5.4,16.3,51.9,11.8,28.8,3.4,5.3,-0.5,3.7,-4.6,18.0,3.4,0.3,5.5,14.4,24.5,3.3,11.3,1.6,15.7,0.1,0.2,0.8,0.1,0.3,0.7,0.5,1.0,-0.7,-1.5,-0.3,18.7,17.9
03010104,Lietzengraben,189  ,29.0,33.3,14.5,24.9,45.7,28.6,45.2,-1.6,22.2,-6.5,0.0,-23.7,33.3,-3.2,0.0,6.9,18.5,8.5,6.3,11.6,8.6,53.8,0.0,0.0,0.0,0.0,4.8,1.6,1.6,6.3,-5.8,33.3,-5.8,38.4,25.0
03020203,Blankenfelde,"1,911  ",8.6,0.0,3.6,5.7,19.0,5.9,30.6,0.3,7.2,-0.1,-1.6,1.9,7.2,0.1,-0.4,3.3,12.5,24.8,0.9,5.8,0.0,6.3,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,-0.2,-4.0,0.0,9.2,27.8
03020209,Niederschönhausen,"12,605  ",6.2,3.2,2.6,6.2,12.4,15.2,28.2,1.1,2.4,-0.9,-0.4,-2.2,15.2,1.0,-0.7,6.9,16.6,16.4,5.1,10.6,3.8,14.2,0.3,0.1,0.5,0.2,1.1,1.0,0.6,2.1,-0.9,-1.8,-0.3,8.7,6.7
03020210,Herthaplatz,"9,543  ",6.9,5.1,2.6,7.3,15.3,13.0,24.7,0.4,-4.1,-1.1,2.3,-3.8,17.6,0.2,-0.4,6.3,16.2,16.1,3.0,8.7,1.9,13.7,0.3,0.2,0.5,0.1,0.5,0.8,0.6,1.4,-0.9,-1.2,-0.6,9.7,16.7
03020307,Buchholz,"16,396  ",6.8,4.9,2.5,9.8,25.8,16.9,23.8,2.3,6.3,-1.1,-0.5,-2.1,15.4,2.2,-0.6,5.9,18.5,16.2,2.7,10.9,1.9,16.1,0.2,0.1,0.6,0.2,0.5,0.7,0.5,1.2,-0.7,0.6,-0.8,9.9,27.4
03030405,Karow-Nord,"10,347  ",8.0,5.4,2.6,11.2,28.0,12.3,29.7,5.3,9.8,-1.4,-1.8,-3.9,15.4,5.0,0.0,7.2,18.3,16.8,2.5,9.2,2.6,10.3,0.1,0.0,0.4,0.4,0.3,0.7,0.4,1.0,-1.2,-1.2,-0.8,11.8,25.0
03030406,Alt-Karow,"8,175  ",3.5,2.4,1.2,2.8,4.8,7.8,13.4,-0.3,4.0,-0.3,1.8,-0.2,6.8,-0.3,-0.3,4.1,15.8,18.1,1.7,7.0,0.0,8.0,0.0,0.0,0.2,0.1,0.5,0.4,0.2,1.0,-0.9,-0.9,-0.4,4.5,8.1
