Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
01011101,Stülerstraße,"2,930",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.38,2.22,7.44,20.11,-0.83,-0.15,0.10,-1.45,-0.45,-0.37,-0.57,-0.51,-1.90,-0.49,mittel,-0.09,0.01,0.27,0.11,0.30,0.11,stabil,4.01,20.14,7.92,78.33,49.11,6.68,9.94,0.70,0.00,54.46,40.84,4.78,2.58
01011102,Großer Tiergarten,180,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01011103,Lützowstraße,"4,818",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",9.31,3.11,18.51,40.28,-0.97,0.14,1.99,2.51,0.33,0.27,0.72,0.44,1.77,0.45,mittel,-0.24,0.59,2.13,1.26,3.75,1.33,negativ,4.03,28.64,17.27,84.87,54.09,1.94,24.22,9.24,14.38,55.39,40.93,0.56,-4.42
01011104,Körnerstraße,"3,913",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",9.77,3.62,24.61,63.70,-0.88,0.37,-4.66,-9.01,0.46,0.64,1.42,1.55,4.07,1.05,niedrig,-0.15,1.08,-4.45,-2.10,-5.62,-2.00,positiv,6.52,24.63,33.06,85.37,63.71,0.41,33.88,7.78,53.69,47.82,37.64,2.38,-3.94
01011105,Nördlicher Landwehrkanal,996,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",2.33,0.52,4.02,8.99,0.90,-0.12,1.14,-0.60,-1.54,-1.60,-0.97,-1.03,-5.15,-1.33,hoch,1.74,0.07,1.29,0.35,3.45,1.23,negativ,0.00,31.71,3.70,67.89,50.30,4.55,3.56,0.00,0.00,38.07,53.78,11.43,-5.95
01011201,Wilhelmstraße,"2,078",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",6.42,1.90,8.81,30.73,0.86,0.16,0.79,-1.49,-0.44,-0.60,-0.41,-0.01,-1.47,-0.38,mittel,1.71,0.64,0.95,0.09,3.39,1.20,negativ,4.71,26.74,3.59,79.93,46.34,0.78,14.00,11.47,0.00,66.25,28.14,1.61,4.27
01011202,Unter den Linden Nord,472,1,hoch,+,positiv,1+,"Status hoch, Dynamik positiv",3.94,0.85,0.42,0.00,-1.40,-0.64,-2.05,-10.42,-1.11,-1.37,-1.38,-1.46,-5.32,-1.37,hoch,-0.69,-1.00,-1.87,-2.51,-6.07,-2.16,positiv,0.00,32.43,0.00,60.42,35.59,6.53,0.00,10.86,0.00,51.21,39.10,4.03,-8.08
01011203,Unter den Linden Süd,854,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",3.73,0.93,3.16,13.64,0.49,0.93,0.04,4.68,-1.17,-1.30,-1.07,-0.81,-4.35,-1.12,hoch,1.31,2.24,0.21,1.89,5.64,2.01,negativ,0.00,38.33,0.00,70.00,43.91,3.21,5.62,45.10,0.00,51.11,42.45,2.36,-2.08
01011204,Leipziger Straße,"5,822",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.68,1.13,7.35,24.30,-1.34,-0.40,0.57,1.37,-0.91,-1.16,-0.58,-0.31,-2.96,-0.76,mittel,-0.63,-0.51,0.73,0.93,0.52,0.19,stabil,1.83,25.80,3.45,65.43,35.30,1.41,13.73,39.57,0.00,58.81,31.47,3.04,-1.87
01011301,Charitéviertel,"4,902",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.98,0.71,3.79,7.68,-1.02,-0.14,0.61,0.07,-1.37,-1.46,-0.99,-1.10,-4.92,-1.27,hoch,-0.29,0.03,0.77,0.55,1.06,0.38,stabil,1.16,22.66,2.86,42.38,32.17,2.50,4.74,8.13,58.57,44.26,45.65,2.06,-2.04
01011302,Oranienburger Straße,"12,078",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.33,1.16,6.91,14.28,-0.87,-0.26,-0.08,-2.23,-0.74,-1.14,-0.63,-0.78,-3.30,-0.85,mittel,-0.14,-0.22,0.08,-0.12,-0.40,-0.14,stabil,2.40,31.53,5.31,40.65,31.39,2.46,7.23,23.06,32.09,53.92,33.22,0.58,-5.26
01011303,Alexanderplatzviertel,"8,141",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.00,2.01,9.36,24.50,-0.68,-0.11,-0.01,-4.57,-0.29,-0.53,-0.35,-0.30,-1.46,-0.38,mittel,0.07,0.09,0.15,-0.80,-0.49,-0.17,stabil,3.30,37.29,4.48,57.84,32.72,2.46,14.83,48.06,20.01,57.18,31.47,0.32,-9.73
01011304,Karl-Marx-Allee,"8,279",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.56,2.52,12.39,40.72,-1.75,-0.44,1.04,-6.13,-0.14,-0.16,0.00,0.46,0.18,0.05,mittel,-1.07,-0.60,1.20,-1.26,-1.73,-0.61,stabil,2.90,36.02,2.04,67.54,29.11,1.84,33.50,45.67,0.00,68.44,18.79,1.32,-0.61
