Nummer,Name,EW 31.12.2014,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,S4 new,EW 31.12. 2014,zS1,zS2,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01011101,Stülerstraße,"3,114",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.78,1.39,8.22,21.27,-0.61,-0.84,0.78,2.25,19.02,"3,114",-0.49,-0.87,-0.46,-0.35,-2.17,-0.56,mittel,0.07,-1.05,0.89,1.10,1.02,0.37,stabil,1.09,20.83,7.82,86.85,53.85,36.61,5.00,65.26,11.09,0.70,2.08,41.43,0.00,51.61,41.47,3.44,3.88
01011102,Großer Tiergarten,194,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01011103,Lützowstraße,"5,130",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.82,2.11,18.32,41.55,-1.49,-1.00,-0.19,2.51,39.05,"5,130",0.12,-0.27,0.71,0.65,1.22,0.32,mittel,-0.80,-1.39,-0.02,1.19,-1.01,-0.37,stabil,4.76,27.47,17.00,83.89,54.23,33.92,2.64,63.68,23.66,7.87,1.77,40.68,14.42,53.86,37.31,2.84,2.16
01011104,Körnerstraße,"4,403",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",7.54,2.24,22.05,49.69,-2.23,-1.38,-2.56,-9.30,58.99,"4,403",0.04,-0.15,1.14,1.06,2.09,0.54,mittel,-1.52,-2.14,-2.22,-2.77,-8.66,-3.19,positiv,3.79,23.23,30.34,82.51,62.71,36.18,1.86,64.66,28.16,8.10,1.34,30.75,56.42,46.23,39.99,5.04,7.95
01011105,Nördlicher Landwehrkanal,"1,097",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.71,0.74,2.01,4.26,0.38,0.22,-2.01,-3.61,7.87,"1,097",-1.41,-1.41,-1.17,-1.20,-5.19,-1.34,hoch,1.04,1.09,-1.71,-0.86,-0.45,-0.17,stabil,0.00,30.19,0.00,78.44,53.78,39.11,5.27,74.13,1.25,0.00,3.32,93.11,0.00,38.35,42.60,4.36,20.06
01011201,Wilhelmstraße,"2,055",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.07,1.49,8.27,28.10,-1.35,-0.41,-0.53,-1.72,29.82,"2,055",-0.70,-0.79,-0.45,-0.01,-1.95,-0.50,mittel,-0.66,-0.19,-0.34,-0.23,-1.42,-0.52,stabil,2.59,21.69,3.01,77.42,47.93,29.59,0.38,62.66,14.39,11.15,2.71,56.34,0.00,67.52,23.35,-0.70,-0.68
01011202,Unter den Linden Nord,498,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.63,0.00,1.20,0.00,-1.31,-0.85,0.78,0.00,0.00,498,-1.43,-2.03,-1.27,-1.41,-6.14,-1.59,hoch,-0.62,-1.07,0.89,0.35,-0.45,-0.17,stabil,0.00,31.71,0.00,63.79,40.16,29.12,4.12,46.21,2.17,10.65,2.94,85.87,0.00,48.77,45.53,2.49,5.36
01011203,Unter den Linden Süd,932,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.13,1.19,3.33,8.51,-0.60,0.26,0.16,0.93,7.58,932,-1.28,-1.03,-1.02,-0.99,-4.32,-1.12,hoch,0.08,1.16,0.31,0.66,2.22,0.82,stabil,0.00,39.73,0.00,65.05,48.61,37.45,6.18,61.32,4.75,44.09,2.23,58.07,0.00,51.81,32.74,5.44,18.63
01011204,Leipziger Straße,"6,424",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",5.29,1.33,6.76,25.14,0.61,0.20,-0.60,1.50,23.64,"6,424",-0.64,-0.91,-0.63,-0.16,-2.34,-0.60,mittel,1.27,1.04,-0.39,0.85,2.77,1.02,negativ,2.41,27.10,4.06,69.90,38.51,24.64,3.76,54.14,11.95,36.87,2.27,49.85,0.00,55.54,32.45,4.81,-1.60
01011301,Charitéviertel,"5,597",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.09,0.72,3.31,4.75,0.11,0.01,-0.49,-2.54,7.29,"5,597",-1.30,-1.43,-1.02,-1.17,-4.92,-1.27,hoch,0.78,0.66,-0.30,-0.50,0.63,0.23,stabil,1.40,21.40,2.56,47.16,35.39,25.21,2.83,48.76,4.63,7.36,2.40,58.74,59.34,39.38,48.92,5.66,-3.73
