Number in Stage  0,Percent in Stage  0,Number in Stage  1,Percent in Stage  1,Number in Stage  2,Percent in Stage  2,Number in Stage  3,Percent in Stage  3,Number in Stage  4,Percent in Stage  4,Number in Stage  5,Percent in Stage  5
3,42.9,4,57.1,0,0,0,0,0,0,0,0
2,28.6,4,57.1,1,14.3,0,0,0,0,0,0
0,0,6,60,2,20,2,20,0,0,0,0
0,0,4,36.4,2,18.2,3,27.3,2,18.2,0,0
0,0,4,36.4,2,18.2,1,9.1,4,36.4,0,0
0,0,4,36.4,1,9.1,2,18.2,2,18.2,2,18.2
0,0,4,36.4,1,9.1,2,18.2,2,18.2,2,18.2
4,20,5,25,2,10,5,25,2,10,2,10
4,12.5,5,15.6,5,15.6,7,21.9,5,15.6,6,18.8
 4,7.5, 9,17, 9,17,11,20.8,12,22.6, 8,15.1
